DK,FR,DE,IB,LU,UK
0.0,1.700556718867429e8,0.0,0.0,2.994650922904882e7,0.0
0.0,1.0159519597270001e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.016e8,0.0
0.0,1.700446414871713e8,0.0,0.0,2.9951798849158794e7,0.0
0.0,0.0,0.0,0.0,1.016e8,0.0
0.0,0.0,0.0,0.0,1.016e8,0.0
0.0,1.0160585715947585e8,0.0,0.0,0.0,0.0
0.0,1.0161312426193705e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.244287513957755e7,0.0
0.0,0.0,0.0,0.0,2.9941707909267694e7,0.0
0.0,0.0,0.0,0.0,1.016e8,0.0
0.0,1.7011097057528794e8,0.0,0.0,2.9922279424712062e7,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.992111512505406e7,0.0
0.0,9.84185268265097e7,0.0,0.0,1.016e8,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,1.0161025126567936e8,0.0,0.0,0.0,0.0
0.0,1.0160345177738678e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.24889612722781e7,0.0
0.0,1.0159345156537174e8,0.0,0.0,0.0,0.0
0.0,1.0752765162668929e8,0.0,0.0,9.247485632121998e7,0.0
0.0,0.0,0.0,0.0,9.248000406770107e7,0.0
0.0,0.0,0.0,0.0,9.246324212859377e7,0.0
0.0,0.0,0.0,0.0,9.244944032751599e7,0.0
0.0,1.0160098388439171e8,0.0,0.0,0.0,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.9931688588158995e7,0.0
0.0,1.7007048703269523e8,0.0,0.0,2.9930517298006237e7,0.0
0.0,9.839923063889343e7,0.0,0.0,1.016e8,0.0
0.0,1.0160056534726095e8,0.0,0.0,0.0,0.0
0.0,1.0159732281008174e8,0.0,0.0,0.0,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.016e8,0.0
0.0,1.07630852e8,0.0,0.0,9.2401798e7,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,1.70126677e8,0.0,0.0,2.9905126e7,0.0
0.0,1.01632139e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.9906354e7,0.0
0.0,1.7012431130259e8,0.0,0.0,2.9912488697409987e7,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.9909932250514e7,0.0
0.0,1.0159745415720078e8,0.0,0.0,0.0,0.0
0.0,9.838987570267358e7,0.0,0.0,1.016e8,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,1.07590418301409e8,0.0,0.0,9.2436212698591e7,0.0
0.0,0.0,0.0,0.0,2.9940597003793e7,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,1.70090525e8,0.0,0.0,2.9932561e7,0.0
0.0,1.70091808e8,0.0,0.0,2.9930937e7,0.0
0.0,0.0,0.0,0.0,9.2442061416634e7,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,1.01629785e8,0.0,0.0,0.0,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.2402985e7,0.0
0.0,1.01636243e8,0.0,0.0,0.0,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,1.07630042e8,0.0,0.0,9.2404462e7,0.0
0.0,1.01633827e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.016e8,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,1.07623868e8,0.0,0.0,9.2408882e7,0.0
0.0,1.07627341e8,0.0,0.0,9.2407797e7,0.0
0.0,0.0,0.0,0.0,2.9906894797024608e7,0.0
0.0,1.015841302151105e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.9904668e7,0.0
0.0,1.7004993096505535e8,0.0,0.0,2.9934166035180002e7,0.0
0.0,1.0158083576056598e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.244726453807e7,0.0
0.0,1.01626679e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.2455391939226e7,0.0
0.0,0.0,0.0,0.0,9.245700303294301e7,0.0
0.0,1.70066300592189e8,0.0,0.0,2.9956825407810986e7,0.0
0.0,1.0156742605808967e8,0.0,0.0,0.0,0.0
0.0,1.015684085952758e8,0.0,0.0,0.0,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,1.70104331030396e8,0.0,0.0,2.9925181969603986e7,0.0
0.0,0.0,0.0,0.0,9.24237654508895e7,0.0
0.0,0.0,0.0,0.0,9.2421049673859e7,0.0
0.0,0.0,0.0,0.0,1.016e8,0.0
0.0,9.83850595869926e7,0.0,0.0,1.016e8,0.0
0.0,2.0e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.994122207481417e7,0.0
0.0,0.0,0.0,0.0,9.244302724210611e7,0.0
