DK,FR,DE,IB,LU,UK
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,510.3559339525284,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,720.3468524251808,0.0,0.0,0.0
0.0,0.0,1653.8186790505679,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,1673.6730878291469,0.0,0.0,0.0
0.0,0.0,162.4739974191143,0.0,0.0,0.0
0.0,0.0,1714.2451496388032,0.0,0.0,0.0
0.0,0.0,1334.9960268317857,0.0,0.0,0.0
0.0,0.0,871.9522703818373,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,167.57781217750266,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,1800.279411764706,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1484.6637254901962,0.0,0.0,0.0
0.0,0.0,1389.2652218782252,0.0,0.0,0.0
0.0,0.0,1325.036996904025,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1510.376367389061,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,384.5458720330241,0.0,0.0,0.0
0.0,0.0,441.45954592363296,0.0,0.0,0.0
0.0,0.0,403.2553663570693,0.0,0.0,0.0
0.0,0.0,443.19860681114596,0.0,0.0,0.0
0.0,0.0,250.96486068111471,0.0,0.0,0.0
0.0,0.0,30.963673890609243,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,891.6437048503617,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1068.3642414860683,0.0,0.0,0.0
0.0,0.0,847.0292053663575,0.0,0.0,0.0
0.0,0.0,699.7225490196083,0.0,0.0,0.0
0.0,0.0,409.47698658410764,0.0,0.0,0.0
0.0,0.0,1268.7669762641904,0.0,0.0,0.0
0.0,0.0,1318.0062435500517,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1505.9573787409704,0.0,0.0,0.0
0.0,0.0,1690.5655830753356,0.0,0.0,0.0
0.0,0.0,2006.3212074303408,0.0,0.0,0.0
0.0,0.0,197.45170278637795,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,1921.6484004127967,0.0,0.0,0.0
0.0,0.0,2047.8056759545925,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,969.1919504643965,0.0,0.0,0.0
0.0,0.0,949.671259029928,0.0,0.0,0.0
0.0,0.0,905.1789473684212,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,634.2869453044377,0.0,0.0,0.0
0.0,0.0,455.76625043692366,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,687.2688338493292,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,657.4237358101136,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,1961.3362229102167,0.0,0.0,0.0
0.0,0.0,2047.028379772962,0.0,0.0,0.0
0.0,0.0,1958.6964912280703,0.0,0.0,0.0
0.0,0.0,1732.051238390093,0.0,0.0,0.0
0.0,0.0,406.0137770897835,0.0,0.0,0.0
0.0,0.0,1500.435552115583,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,215.65428276573812,0.0,0.0,0.0
0.0,0.0,969.3685242518061,0.0,0.0,0.0
0.0,0.0,1614.8782954845892,0.0,0.0,0.0
0.0,0.0,258.41976264189907,0.0,0.0,0.0
0.0,0.0,2075.0,0.0,0.0,0.0
0.0,0.0,1974.1115067079465,0.0,0.0,0.0
0.0,0.0,1828.6432404540765,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1916.4043859649123,0.0,0.0,0.0
0.0,0.0,2042.8596491228072,0.0,0.0,0.0
