hour,East,North,West,South
2365,0.324,0.623,0.658,0.715
2366,0.266,0.551,0.556,0.645
2367,0.205,0.425,0.425,0.531
2368,0.146,0.224,0.272,0.367
2369,0.066,0.099,0.142,0.157
2370,0.004,0.016,0.03,0.011
2371,0,0,0,0
2372,0,0,0,0
2373,0,0,0,0
2374,0,0,0,0
2375,0,0,0,0
2376,0,0,0,0
2377,0,0,0,0
2378,0,0,0,0
2379,0,0,0,0
2380,0,0,0,0
2381,0,0,0,0
2382,0.016,0.015,0.018,0.04
2383,0.06,0.082,0.099,0.14
2384,0.166,0.148,0.226,0.241
2385,0.253,0.167,0.39,0.318
2386,0.412,0.161,0.469,0.378
2387,0.489,0.159,0.56,0.396
2388,0.501,0.161,0.569,0.388
2389,0.464,0.187,0.512,0.428
2390,0.393,0.184,0.497,0.42
2391,0.318,0.112,0.399,0.351
2392,0.208,0.075,0.27,0.254
2393,0.074,0.044,0.127,0.089
2394,0.006,0.016,0.03,0.01
2395,0,0,0,0
2396,0,0,0,0
2397,0,0,0,0
2398,0,0,0,0
2399,0,0,0,0
2400,0,0,0,0
2401,0,0,0,0
2402,0,0,0,0
2403,0,0,0,0
2404,0,0,0,0
2405,0.003,0,0,0
2406,0.088,0.019,0.016,0.048
2407,0.274,0.076,0.064,0.177
2408,0.461,0.255,0.158,0.315
2409,0.602,0.475,0.25,0.446
2410,0.695,0.582,0.356,0.563
2411,0.737,0.649,0.396,0.668
2412,0.736,0.608,0.354,0.721
2413,0.681,0.566,0.246,0.717
2414,0.561,0.484,0.154,0.642
2415,0.35,0.412,0.181,0.499
2416,0.146,0.313,0.154,0.327
2417,0.045,0.163,0.084,0.119
2418,0.003,0.025,0.021,0.014
2419,0,0,0,0
2420,0,0,0,0
2421,0,0,0,0
2422,0,0,0,0
2423,0,0,0,0
2424,0,0,0,0
2425,0,0,0,0
2426,0,0,0,0
2427,0,0,0,0
2428,0,0,0,0
2429,0.002,0,0,0
2430,0.053,0.027,0.028,0.04
2431,0.17,0.102,0.183,0.19
2432,0.374,0.342,0.379,0.354
2433,0.496,0.493,0.531,0.446
2434,0.522,0.649,0.628,0.472
2435,0.605,0.69,0.698,0.594
2436,0.649,0.697,0.731,0.56
2437,0.607,0.652,0.712,0.483
2438,0.531,0.486,0.6,0.404
2439,0.424,0.24,0.44,0.279
2440,0.272,0.104,0.271,0.153
2441,0.09,0.036,0.104,0.065
2442,0.005,0.005,0.013,0.01
2443,0,0,0,0
2444,0,0,0,0
2445,0,0,0,0
2446,0,0,0,0
2447,0,0,0,0
2448,0,0,0,0
2449,0,0,0,0
2450,0,0,0,0
2451,0,0,0,0
2452,0,0,0,0
2453,0.004,0,0,0
2454,0.084,0.053,0.024,0.035
2455,0.251,0.219,0.114,0.172
2456,0.438,0.413,0.208,0.32
2457,0.572,0.558,0.221,0.479
2458,0.64,0.643,0.247,0.599
2459,0.635,0.704,0.419,0.704
2460,0.657,0.705,0.551,0.743
2461,0.613,0.646,0.627,0.713
2462,0.514,0.541,0.608,0.629
2463,0.399,0.429,0.53,0.508
2464,0.235,0.299,0.375,0.338
2465,0.102,0.146,0.199,0.149
2466,0.009,0.025,0.042,0.017
2467,0,0,0,0
2468,0,0,0,0
2469,0,0,0,0
2470,0,0,0,0
2471,0,0,0,0
2472,0,0,0,0
2473,0,0,0,0
2474,0,0,0,0
2475,0,0,0,0
2476,0,0,0,0
2477,0.002,0,0,0
2478,0.032,0.045,0.031,0.062
2479,0.056,0.182,0.149,0.224
2480,0.075,0.315,0.347,0.397
2481,0.161,0.431,0.494,0.509
2482,0.383,0.598,0.571,0.6
2483,0.548,0.653,0.552,0.643
2484,0.496,0.604,0.462,0.592
2485,0.359,0.517,0.433,0.551
2486,0.304,0.408,0.41,0.501
2487,0.273,0.319,0.332,0.375
2488,0.164,0.246,0.229,0.224
2489,0.06,0.146,0.136,0.115
2490,0.007,0.03,0.034,0.017
2491,0,0,0,0
2492,0,0,0,0
2493,0,0,0,0
2494,0,0,0,0
2495,0,0,0,0
2496,0,0,0,0
2497,0,0,0,0
2498,0,0,0,0
2499,0,0,0,0
2500,0,0,0,0
2501,0.005,0.001,0,0
2502,0.061,0.062,0.025,0.05
2503,0.113,0.249,0.137,0.226
2504,0.239,0.44,0.33,0.344
2505,0.51,0.597,0.494,0.476
2506,0.635,0.698,0.576,0.567
2507,0.605,0.747,0.601,0.627
2508,0.469,0.734,0.687,0.653
2509,0.37,0.67,0.661,0.597
2510,0.321,0.59,0.581,0.558
2511,0.247,0.477,0.512,0.429
2512,0.134,0.344,0.381,0.281
2513,0.055,0.176,0.201,0.13
2514,0.006,0.03,0.042,0.019
2515,0,0,0,0
2516,0,0,0,0
2517,0,0,0,0
2518,0,0,0,0
2519,0,0,0,0
2520,0,0,0,0
2521,0,0,0,0
2522,0,0,0,0
2523,0,0,0,0
2524,0,0,0,0
2525,0.004,0.001,0,0
2526,0.07,0.066,0.039,0.054
2527,0.293,0.251,0.215,0.214
2528,0.499,0.446,0.419,0.421
2529,0.643,0.598,0.583,0.54
2530,0.707,0.704,0.699,0.618
2531,0.747,0.761,0.766,0.673
2532,0.766,0.773,0.786,0.66
2533,0.739,0.741,0.762,0.624
2534,0.653,0.66,0.692,0.559
2535,0.515,0.522,0.575,0.456
2536,0.334,0.312,0.412,0.307
2537,0.136,0.137,0.217,0.152
2538,0.011,0.028,0.045,0.022
2539,0,0,0,0
2540,0,0,0,0
2541,0,0,0,0
2542,0,0,0,0
2543,0,0,0,0
2544,0,0,0,0
2545,0,0,0,0
2546,0,0,0,0
2547,0,0,0,0
2548,0,0,0,0
2549,0.008,0.002,0,0
2550,0.101,0.039,0.042,0.071
2551,0.279,0.121,0.211,0.284
2552,0.462,0.22,0.41,0.492
2553,0.599,0.289,0.565,0.654
2554,0.652,0.366,0.641,0.763
2555,0.61,0.46,0.651,0.82
2556,0.577,0.649,0.6,0.829
2557,0.555,0.657,0.65,0.792
2558,0.535,0.533,0.666,0.709
2559,0.409,0.393,0.559,0.577
2560,0.201,0.172,0.397,0.395
2561,0.063,0.035,0.174,0.17
2562,0.009,0.004,0.025,0.021
2563,0,0,0,0
2564,0,0,0,0
2565,0,0,0,0
2566,0,0,0,0
2567,0,0,0,0
2568,0,0,0,0
2569,0,0,0,0
2570,0,0,0,0
2571,0,0,0,0
2572,0,0,0,0
2573,0,0.001,0,0
2574,0.01,0.043,0.038,0.019
2575,0.031,0.131,0.196,0.065
2576,0.077,0.341,0.379,0.169
2577,0.154,0.464,0.518,0.306
2578,0.246,0.53,0.552,0.327
2579,0.361,0.561,0.488,0.254
2580,0.474,0.53,0.434,0.186
2581,0.449,0.451,0.35,0.173
2582,0.387,0.368,0.313,0.189
2583,0.278,0.207,0.275,0.175
2584,0.166,0.123,0.253,0.134
2585,0.085,0.064,0.163,0.069
2586,0.015,0.023,0.04,0.013
2587,0,0,0,0
2588,0,0,0,0
2589,0,0,0,0
2590,0,0,0,0
2591,0,0,0,0
2592,0,0,0,0
2593,0,0,0,0
2594,0,0,0,0
2595,0,0,0,0
2596,0,0,0,0
2597,0.007,0,0,0
2598,0.049,0.032,0.041,0.019
2599,0.202,0.152,0.163,0.062
2600,0.302,0.428,0.395,0.127
2601,0.412,0.579,0.562,0.218
2602,0.61,0.681,0.678,0.467
2603,0.706,0.735,0.748,0.708
2604,0.705,0.744,0.768,0.76
2605,0.633,0.705,0.742,0.726
2606,0.554,0.625,0.67,0.651
2607,0.429,0.503,0.553,0.519
2608,0.267,0.345,0.391,0.3
2609,0.104,0.173,0.201,0.113
2610,0.017,0.037,0.048,0.026
2611,0,0,0,0
2612,0,0,0,0
2613,0,0,0,0
2614,0,0,0,0
2615,0,0,0,0
2616,0,0,0,0
2617,0,0,0,0
2618,0,0,0,0
2619,0,0,0,0
2620,0,0,0,0
2621,0.009,0.002,0,0
2622,0.074,0.045,0.028,0.037
2623,0.187,0.142,0.127,0.124
2624,0.324,0.411,0.317,0.259
2625,0.466,0.561,0.529,0.449
2626,0.496,0.661,0.655,0.634
2627,0.527,0.715,0.719,0.666
2628,0.554,0.723,0.735,0.649
2629,0.511,0.68,0.697,0.635
2630,0.436,0.592,0.618,0.544
2631,0.318,0.471,0.508,0.432
2632,0.229,0.299,0.359,0.282
2633,0.09,0.146,0.189,0.102
2634,0.013,0.038,0.051,0.026
2635,0,0,0,0
2636,0,0,0,0
2637,0,0,0,0
2638,0,0,0,0
2639,0,0,0,0
2640,0,0,0,0
2641,0,0,0,0
2642,0,0,0,0
2643,0,0,0,0
2644,0,0,0,0
2645,0.006,0,0,0
2646,0.062,0.024,0.048,0.035
2647,0.191,0.109,0.142,0.103
2648,0.377,0.182,0.213,0.175
2649,0.541,0.198,0.288,0.226
2650,0.599,0.277,0.341,0.274
2651,0.632,0.465,0.339,0.288
2652,0.618,0.517,0.289,0.292
2653,0.563,0.555,0.243,0.299
2654,0.474,0.481,0.205,0.216
2655,0.312,0.351,0.174,0.168
2656,0.147,0.236,0.127,0.11
2657,0.061,0.128,0.078,0.044
2658,0.011,0.04,0.027,0.007
2659,0,0,0,0
2660,0,0,0,0
2661,0,0,0,0
2662,0,0,0,0
2663,0,0,0,0
2664,0,0,0,0
2665,0,0,0,0
2666,0,0,0,0
2667,0,0,0,0
2668,0,0,0,0
2669,0.013,0.002,0,0.001
2670,0.087,0.043,0.045,0.043
2671,0.189,0.125,0.147,0.14
2672,0.283,0.293,0.262,0.275
2673,0.348,0.425,0.342,0.42
2674,0.364,0.586,0.342,0.564
2675,0.322,0.621,0.378,0.513
2676,0.283,0.571,0.416,0.501
2677,0.241,0.465,0.456,0.507
2678,0.206,0.337,0.381,0.471
2679,0.178,0.222,0.292,0.395
2680,0.135,0.131,0.185,0.281
2681,0.079,0.058,0.118,0.145
2682,0.016,0.01,0.043,0.031
2683,0,0,0.001,0
2684,0,0,0,0
2685,0,0,0,0
2686,0,0,0,0
2687,0,0,0,0
2688,0,0,0,0
2689,0,0,0,0
2690,0,0,0,0
2691,0,0,0,0
2692,0,0,0,0
2693,0.014,0.004,0,0.003
2694,0.1,0.064,0.052,0.072
2695,0.25,0.192,0.209,0.225
2696,0.409,0.349,0.388,0.39
2697,0.528,0.485,0.525,0.536
2698,0.569,0.573,0.587,0.595
2699,0.581,0.599,0.614,0.591
2700,0.566,0.532,0.622,0.639
2701,0.504,0.383,0.591,0.602
2702,0.352,0.223,0.488,0.552
2703,0.259,0.152,0.385,0.459
2704,0.146,0.113,0.275,0.328
2705,0.06,0.079,0.14,0.165
2706,0.015,0.03,0.045,0.029
2707,0,0,0.001,0
2708,0,0,0,0
2709,0,0,0,0
2710,0,0,0,0
2711,0,0,0,0
2712,0,0,0,0
2713,0,0,0,0
2714,0,0,0,0
2715,0,0,0,0
2716,0,0,0,0
2717,0.012,0.002,0.001,0.004
2718,0.076,0.036,0.049,0.078
2719,0.174,0.093,0.152,0.262
2720,0.278,0.166,0.284,0.446
2721,0.33,0.264,0.406,0.586
2722,0.344,0.359,0.476,0.672
2723,0.328,0.426,0.542,0.726
2724,0.315,0.493,0.496,0.739
2725,0.327,0.476,0.367,0.712
2726,0.27,0.409,0.273,0.642
2727,0.194,0.344,0.199,0.525
2728,0.12,0.206,0.153,0.366
2729,0.072,0.108,0.112,0.178
2730,0.019,0.036,0.047,0.026
2731,0,0,0.001,0
2732,0,0,0,0
2733,0,0,0,0
2734,0,0,0,0
2735,0,0,0,0
2736,0,0,0,0
2737,0,0,0,0
2738,0,0,0,0
2739,0,0,0,0
2740,0,0,0,0
2741,0.018,0.005,0.001,0.005
2742,0.113,0.048,0.048,0.08
2743,0.279,0.145,0.164,0.265
2744,0.439,0.357,0.309,0.447
2745,0.561,0.534,0.449,0.59
2746,0.639,0.636,0.557,0.685
2747,0.659,0.694,0.599,0.728
2748,0.631,0.704,0.611,0.722
2749,0.549,0.674,0.563,0.646
2750,0.414,0.59,0.504,0.536
2751,0.25,0.478,0.378,0.413
2752,0.173,0.338,0.246,0.259
2753,0.081,0.181,0.14,0.118
2754,0.019,0.046,0.047,0.024
2755,0,0.002,0.001,0
2756,0,0,0,0
2757,0,0,0,0
2758,0,0,0,0
2759,0,0,0,0
2760,0,0,0,0
2761,0,0,0,0
2762,0,0,0,0
2763,0,0,0,0
2764,0,0,0,0
2765,0.017,0.009,0.002,0.001
2766,0.094,0.077,0.055,0.038
2767,0.209,0.257,0.184,0.1
2768,0.342,0.429,0.366,0.177
2769,0.431,0.569,0.518,0.281
2770,0.478,0.66,0.597,0.522
2771,0.459,0.708,0.626,0.658
2772,0.389,0.711,0.593,0.671
2773,0.34,0.658,0.47,0.635
2774,0.282,0.565,0.427,0.518
2775,0.205,0.411,0.279,0.353
2776,0.133,0.224,0.147,0.181
2777,0.072,0.094,0.062,0.05
2778,0.023,0.029,0.014,0.009
2779,0,0.001,0,0
2780,0,0,0,0
2781,0,0,0,0
2782,0,0,0,0
2783,0,0,0,0
2784,0,0,0,0
2785,0,0,0,0
2786,0,0,0,0
2787,0,0,0,0
2788,0,0,0,0
2789,0.018,0.009,0,0
2790,0.085,0.077,0.002,0.013
2791,0.196,0.239,0.013,0.045
2792,0.347,0.413,0.035,0.081
2793,0.508,0.557,0.071,0.118
2794,0.612,0.656,0.122,0.192
2795,0.659,0.712,0.191,0.3
2796,0.663,0.726,0.263,0.415
2797,0.606,0.7,0.394,0.407
2798,0.501,0.627,0.437,0.277
2799,0.356,0.489,0.322,0.209
2800,0.221,0.342,0.167,0.09
2801,0.097,0.191,0.074,0.035
2802,0.021,0.049,0.021,0.009
2803,0,0.003,0,0
2804,0,0,0,0
2805,0,0,0,0
2806,0,0,0,0
2807,0,0,0,0
2808,0,0,0,0
2809,0,0,0,0
2810,0,0,0,0
2811,0,0,0,0
2812,0,0,0,0
2813,0.021,0.011,0.001,0.002
2814,0.107,0.083,0.036,0.035
2815,0.269,0.26,0.088,0.102
2816,0.446,0.431,0.144,0.175
2817,0.567,0.565,0.198,0.27
2818,0.648,0.66,0.231,0.306
2819,0.681,0.718,0.228,0.333
2820,0.682,0.731,0.241,0.394
2821,0.621,0.709,0.238,0.407
2822,0.546,0.642,0.223,0.334
2823,0.413,0.524,0.189,0.236
2824,0.29,0.352,0.128,0.152
2825,0.139,0.194,0.081,0.065
2826,0.029,0.049,0.034,0.018
2827,0,0.004,0.001,0
2828,0,0,0,0
2829,0,0,0,0
2830,0,0,0,0
2831,0,0,0,0
2832,0,0,0,0
2833,0,0,0,0
2834,0,0,0,0
2835,0,0,0,0
2836,0,0,0,0
2837,0.021,0.013,0.001,0
2838,0.134,0.094,0.039,0.022
2839,0.316,0.265,0.1,0.062
2840,0.481,0.438,0.174,0.104
2841,0.609,0.572,0.222,0.159
2842,0.695,0.672,0.257,0.302
2843,0.737,0.729,0.218,0.446
2844,0.737,0.743,0.207,0.546
2845,0.696,0.715,0.188,0.496
2846,0.613,0.645,0.183,0.441
2847,0.488,0.53,0.161,0.354
2848,0.326,0.378,0.112,0.274
2849,0.148,0.203,0.057,0.137
2850,0.028,0.049,0.02,0.034
2851,0,0.004,0,0
2852,0,0,0,0
2853,0,0,0,0
2854,0,0,0,0
2855,0,0,0,0
2856,0,0,0,0
2857,0,0,0,0
2858,0,0,0,0
2859,0,0,0,0
2860,0,0,0,0
2861,0.024,0.013,0.002,0.003
2862,0.129,0.082,0.044,0.045
2863,0.295,0.236,0.121,0.128
2864,0.427,0.395,0.224,0.243
2865,0.539,0.549,0.349,0.282
2866,0.601,0.644,0.438,0.275
2867,0.664,0.688,0.292,0.314
2868,0.701,0.696,0.215,0.264
2869,0.66,0.632,0.251,0.183
2870,0.532,0.582,0.253,0.177
2871,0.425,0.462,0.203,0.113
2872,0.3,0.322,0.187,0.079
2873,0.134,0.187,0.1,0.045
2874,0.031,0.054,0.04,0.012
2875,0,0.005,0.003,0
2876,0,0,0,0
2877,0,0,0,0
2878,0,0,0,0
2879,0,0,0,0
2880,0,0,0,0
2881,0,0,0,0
2882,0,0,0,0
2883,0,0,0,0
2884,0,0,0,0
2885,0.028,0.017,0.004,0.002
2886,0.121,0.101,0.061,0.045
2887,0.239,0.275,0.184,0.13
2888,0.318,0.451,0.372,0.252
2889,0.375,0.591,0.537,0.432
2890,0.445,0.676,0.645,0.658
2891,0.519,0.719,0.684,0.694
2892,0.465,0.726,0.678,0.7
2893,0.3,0.676,0.615,0.655
2894,0.223,0.546,0.499,0.547
2895,0.16,0.345,0.347,0.357
2896,0.11,0.2,0.211,0.225
2897,0.049,0.117,0.086,0.081
2898,0.011,0.036,0.036,0.022
2899,0,0.003,0.003,0
2900,0,0,0,0
2901,0,0,0,0
2902,0,0,0,0
2903,0,0,0,0
2904,0,0,0,0
2905,0,0,0,0
2906,0,0,0,0
2907,0,0,0,0
2908,0,0,0,0
2909,0.002,0.005,0.004,0
2910,0.015,0.036,0.058,0.014
2911,0.037,0.083,0.16,0.047
2912,0.069,0.139,0.253,0.121
2913,0.109,0.187,0.389,0.248
2914,0.148,0.227,0.537,0.294
2915,0.184,0.265,0.634,0.333
2916,0.214,0.296,0.67,0.368
2917,0.223,0.312,0.598,0.338
2918,0.194,0.3,0.506,0.274
2919,0.15,0.311,0.374,0.222
2920,0.105,0.284,0.231,0.165
2921,0.056,0.19,0.101,0.068
2922,0.017,0.068,0.026,0.025
2923,0,0.008,0.002,0
2924,0,0,0,0
2925,0,0,0,0
2926,0,0,0,0
2927,0,0,0,0
2928,0,0,0,0
2929,0,0,0,0
2930,0,0,0,0
2931,0,0,0,0
2932,0,0,0,0
2933,0.028,0.018,0.006,0.001
2934,0.134,0.104,0.07,0.026
2935,0.299,0.283,0.256,0.075
2936,0.455,0.433,0.448,0.167
2937,0.565,0.531,0.607,0.253
2938,0.662,0.629,0.719,0.322
2939,0.721,0.709,0.781,0.347
2940,0.723,0.753,0.796,0.366
2941,0.718,0.743,0.766,0.381
2942,0.649,0.679,0.697,0.396
2943,0.521,0.564,0.582,0.361
2944,0.355,0.407,0.421,0.251
2945,0.166,0.223,0.225,0.127
2946,0.028,0.057,0.069,0.037
2947,0,0.007,0.009,0
2948,0,0,0,0
2949,0,0,0,0
2950,0,0,0,0
2951,0,0,0,0
2952,0,0,0,0
2953,0,0,0,0
2954,0,0,0,0
2955,0,0,0,0
2956,0,0,0,0
2957,0.028,0.011,0.007,0.006
2958,0.148,0.069,0.072,0.066
2959,0.325,0.166,0.254,0.198
2960,0.509,0.306,0.439,0.46
2961,0.644,0.437,0.59,0.613
2962,0.7,0.555,0.688,0.739
2963,0.734,0.649,0.738,0.804
2964,0.719,0.639,0.76,0.815
2965,0.609,0.654,0.747,0.781
2966,0.567,0.587,0.685,0.701
2967,0.441,0.486,0.573,0.576
2968,0.273,0.335,0.395,0.407
2969,0.117,0.165,0.2,0.207
2970,0.037,0.05,0.068,0.029
2971,0,0.006,0.008,0.001
2972,0,0,0,0
2973,0,0,0,0
2974,0,0,0,0
2975,0,0,0,0
2976,0,0,0,0
2977,0,0,0,0
2978,0,0,0,0
2979,0,0,0,0
2980,0,0,0,0
2981,0.028,0.013,0.008,0.009
2982,0.124,0.044,0.075,0.05
2983,0.279,0.087,0.237,0.155
2984,0.43,0.128,0.401,0.375
2985,0.523,0.156,0.511,0.571
2986,0.643,0.192,0.566,0.696
2987,0.741,0.206,0.635,0.777
2988,0.762,0.264,0.68,0.794
2989,0.721,0.341,0.68,0.76
2990,0.636,0.366,0.615,0.682
2991,0.51,0.348,0.488,0.538
2992,0.345,0.252,0.318,0.31
2993,0.164,0.141,0.177,0.143
2994,0.032,0.047,0.072,0.043
2995,0.001,0.005,0.011,0.002
2996,0,0,0,0
2997,0,0,0,0
2998,0,0,0,0
2999,0,0,0,0
3000,0,0,0,0
3001,0,0,0,0
3002,0,0,0,0
3003,0,0,0,0
3004,0,0,0,0
3005,0.034,0.015,0.005,0.014
3006,0.153,0.058,0.05,0.101
3007,0.322,0.103,0.115,0.256
3008,0.444,0.154,0.169,0.407
3009,0.471,0.178,0.177,0.486
3010,0.449,0.185,0.189,0.52
3011,0.395,0.199,0.345,0.553
3012,0.345,0.203,0.564,0.544
3013,0.308,0.198,0.6,0.39
3014,0.257,0.23,0.567,0.244
3015,0.184,0.295,0.355,0.196
3016,0.097,0.272,0.196,0.215
3017,0.043,0.149,0.146,0.147
3018,0.019,0.054,0.061,0.045
3019,0,0.008,0.008,0
3020,0,0,0,0
3021,0,0,0,0
3022,0,0,0,0
3023,0,0,0,0
3024,0,0,0,0
3025,0,0,0,0
3026,0,0,0,0
3027,0,0,0,0
3028,0,0,0,0
3029,0.022,0.012,0.011,0.007
3030,0.079,0.105,0.08,0.042
3031,0.154,0.267,0.241,0.08
3032,0.206,0.409,0.412,0.128
3033,0.229,0.481,0.549,0.223
3034,0.426,0.51,0.627,0.332
3035,0.522,0.547,0.674,0.519
3036,0.484,0.503,0.628,0.609
3037,0.481,0.452,0.481,0.519
3038,0.475,0.432,0.315,0.311
3039,0.419,0.364,0.259,0.237
3040,0.286,0.239,0.213,0.214
3041,0.151,0.131,0.123,0.151
3042,0.044,0.032,0.073,0.056
3043,0.001,0.001,0.013,0.002
3044,0,0,0,0
3045,0,0,0,0
3046,0,0,0,0
3047,0,0,0,0
3048,0,0,0,0
3049,0,0,0,0
3050,0,0,0,0
3051,0,0,0,0
3052,0,0,0,0
3053,0.035,0.01,0.012,0.007
3054,0.146,0.038,0.085,0.05
3055,0.297,0.078,0.174,0.118
3056,0.433,0.139,0.23,0.184
3057,0.513,0.222,0.281,0.381
3058,0.606,0.292,0.343,0.518
3059,0.629,0.333,0.376,0.454
3060,0.57,0.292,0.403,0.458
3061,0.52,0.323,0.301,0.544
3062,0.447,0.266,0.171,0.589
3063,0.259,0.224,0.093,0.519
3064,0.147,0.223,0.073,0.369
3065,0.067,0.148,0.08,0.164
3066,0.032,0.057,0.019,0.048
3067,0,0.007,0.001,0.002
3068,0,0,0,0
3069,0,0,0,0
3070,0,0,0,0
3071,0,0,0,0
3072,0,0,0,0
3073,0,0,0,0
3074,0,0,0,0
3075,0,0,0,0
3076,0,0,0,0
3077,0.011,0.007,0.002,0.006
3078,0.084,0.053,0.035,0.044
3079,0.213,0.148,0.107,0.086
3080,0.363,0.24,0.231,0.161
3081,0.466,0.286,0.412,0.319
3082,0.522,0.252,0.477,0.558
3083,0.562,0.223,0.64,0.493
3084,0.5,0.193,0.693,0.557
3085,0.38,0.262,0.674,0.591
3086,0.346,0.265,0.583,0.522
3087,0.318,0.189,0.397,0.444
3088,0.156,0.234,0.246,0.261
3089,0.102,0.132,0.146,0.106
3090,0.039,0.051,0.056,0.045
3091,0,0.004,0.013,0.002
3092,0,0,0,0
3093,0,0,0,0
3094,0,0,0,0
3095,0,0,0,0
3096,0,0,0,0
3097,0,0,0,0
3098,0,0,0,0
3099,0,0,0,0
3100,0,0,0,0
3101,0.034,0.028,0.012,0.02
3102,0.099,0.103,0.079,0.097
3103,0.284,0.262,0.119,0.181
3104,0.464,0.426,0.155,0.381
3105,0.576,0.538,0.178,0.484
3106,0.675,0.624,0.243,0.552
3107,0.723,0.605,0.288,0.552
3108,0.738,0.242,0.249,0.488
3109,0.701,0.3,0.199,0.424
3110,0.501,0.272,0.269,0.445
3111,0.279,0.309,0.175,0.332
3112,0.229,0.234,0.093,0.134
3113,0.113,0.046,0.045,0.064
3114,0.023,0.009,0.038,0.03
3115,0,0.001,0.012,0.001
3116,0,0,0,0
3117,0,0,0,0
3118,0,0,0,0
3119,0,0,0,0
3120,0,0,0,0
3121,0,0,0,0
3122,0,0,0,0
3123,0,0,0,0
3124,0,0,0,0
3125,0.033,0.016,0.013,0.009
3126,0.157,0.056,0.072,0.067
3127,0.327,0.128,0.179,0.167
3128,0.48,0.182,0.389,0.284
3129,0.594,0.225,0.519,0.453
3130,0.658,0.224,0.591,0.615
3131,0.683,0.238,0.587,0.71
3132,0.664,0.283,0.49,0.727
3133,0.6,0.275,0.408,0.686
3134,0.511,0.242,0.336,0.594
3135,0.397,0.19,0.232,0.467
3136,0.258,0.115,0.147,0.297
3137,0.13,0.101,0.083,0.153
3138,0.045,0.054,0.046,0.053
3139,0.003,0.006,0.01,0.003
3140,0,0,0,0
3141,0,0,0,0
3142,0,0,0,0
3143,0,0,0,0
3144,0,0,0,0
3145,0,0,0,0
3146,0,0,0,0
3147,0,0,0,0
3148,0,0,0,0
3149,0.041,0.013,0.016,0.015
3150,0.12,0.051,0.088,0.078
3151,0.145,0.127,0.212,0.209
3152,0.161,0.198,0.34,0.285
3153,0.195,0.322,0.406,0.376
3154,0.247,0.392,0.461,0.443
3155,0.347,0.455,0.474,0.473
3156,0.381,0.462,0.401,0.413
3157,0.389,0.499,0.356,0.391
3158,0.332,0.523,0.261,0.333
3159,0.277,0.468,0.196,0.202
3160,0.212,0.341,0.148,0.113
3161,0.116,0.183,0.071,0.055
3162,0.038,0.068,0.053,0.019
3163,0.001,0.017,0.011,0
3164,0,0,0,0
3165,0,0,0,0
3166,0,0,0,0
3167,0,0,0,0
3168,0,0,0,0
3169,0,0,0,0
3170,0,0,0,0
3171,0,0,0,0
3172,0,0,0,0
3173,0.022,0.025,0.014,0.006
3174,0.093,0.076,0.075,0.031
3175,0.254,0.159,0.147,0.084
3176,0.39,0.375,0.253,0.163
3177,0.484,0.548,0.293,0.168
3178,0.54,0.647,0.254,0.215
3179,0.57,0.696,0.235,0.283
3180,0.563,0.718,0.211,0.28
3181,0.523,0.695,0.212,0.245
3182,0.437,0.637,0.257,0.213
3183,0.341,0.534,0.223,0.178
3184,0.234,0.391,0.15,0.134
3185,0.112,0.22,0.112,0.097
3186,0.039,0.078,0.057,0.039
3187,0.002,0.015,0.014,0.002
3188,0,0,0,0
3189,0,0,0,0
3190,0,0,0,0
3191,0,0,0,0
3192,0,0,0,0
3193,0,0,0,0
3194,0,0,0,0
3195,0,0,0,0
3196,0.001,0,0,0
3197,0.038,0.031,0.011,0.002
3198,0.116,0.12,0.048,0.028
3199,0.258,0.28,0.106,0.126
3200,0.446,0.44,0.353,0.27
3201,0.543,0.564,0.52,0.477
3202,0.592,0.651,0.585,0.613
3203,0.586,0.703,0.626,0.674
3204,0.532,0.719,0.62,0.659
3205,0.465,0.694,0.556,0.615
3206,0.403,0.625,0.439,0.53
3207,0.317,0.53,0.29,0.413
3208,0.219,0.373,0.206,0.269
3209,0.12,0.21,0.119,0.144
3210,0.043,0.076,0.069,0.057
3211,0.003,0.018,0.019,0.005
3212,0,0,0,0
3213,0,0,0,0
3214,0,0,0,0
3215,0,0,0,0
3216,0,0,0,0
3217,0,0,0,0
3218,0,0,0,0
3219,0,0,0,0
3220,0,0,0,0
3221,0.03,0.031,0.018,0.016
3222,0.089,0.104,0.081,0.069
3223,0.166,0.252,0.223,0.147
3224,0.294,0.442,0.355,0.255
3225,0.389,0.564,0.462,0.466
3226,0.482,0.657,0.492,0.546
3227,0.608,0.643,0.562,0.584
3228,0.638,0.612,0.567,0.604
3229,0.581,0.498,0.633,0.587
3230,0.499,0.5,0.586,0.549
3231,0.425,0.427,0.495,0.472
3232,0.315,0.318,0.37,0.352
3233,0.164,0.184,0.226,0.193
3234,0.051,0.078,0.09,0.061
3235,0.006,0.022,0.02,0.007
3236,0,0,0,0
3237,0,0,0,0
3238,0,0,0,0
3239,0,0,0,0
3240,0,0,0,0
3241,0,0,0,0
3242,0,0,0,0
3243,0,0,0,0
3244,0.003,0,0,0
3245,0.039,0.03,0.015,0.013
3246,0.171,0.126,0.074,0.054
3247,0.351,0.294,0.215,0.151
3248,0.505,0.435,0.428,0.372
3249,0.608,0.522,0.579,0.545
3250,0.673,0.614,0.685,0.645
3251,0.707,0.636,0.746,0.694
3252,0.68,0.636,0.764,0.704
3253,0.594,0.68,0.742,0.657
