Hour,Zone1,Zone2
399,61106,61106
400,60277,60277
401,61128,61128
402,65743,65743
403,66619,66619
404,64455,64455
405,60374,60374
406,58004,58004
407,57259,57259
408,53930,53930
409,50757,50757
410,48969,48969
411,47752,47752
412,47197,47197
413,47001,47001
414,46464,46464
415,45802,45802
416,47693,47693
417,50646,50646
418,54474,54474
419,57745,57745
420,61080,61080
421,60730,60730
422,58222,58222
423,56189,56189
424,55413,55413
425,56439,56439
426,61905,61905
427,63764,63764
428,62486,62486
429,59810,59810
430,58233,58233
431,58570,58570
432,55704,55704
433,52896,52896
434,51179,51179
435,50495,50495
436,50828,50828
437,52445,52445
438,56503,56503
439,65662,65662
440,73567,73567
441,76163,76163
442,76425,76425
443,77478,77478
444,78352,78352
445,77825,77825
446,77300,77300
447,76241,76241
448,75600,75600
449,75417,75417
450,78607,78607
451,78488,78488
452,76500,76500
453,72066,72066
454,68617,68617
455,65589,65589
456,61098,61098
457,57919,57919
458,55854,55854
459,54842,54842
460,55231,55231
461,56390,56390
462,59674,59674
463,67592,67592
464,74803,74803
465,77423,77423
466,77581,77581
467,78624,78624
468,79253,79253
469,78591,78591
470,78093,78093
471,77028,77028
472,76322,76322
473,75746,75746
474,79139,79139
475,78815,78815
476,76693,76693
477,72690,72690
478,69109,69109
479,66016,66016
480,61749,61749
481,58670,58670
482,56482,56482
483,55534,55534
484,55925,55925
485,56968,56968
486,60166,60166
487,68025,68025
488,75234,75234
489,77553,77553
490,77428,77428
491,78254,78254
492,78889,78889
493,78107,78107
494,77408,77408
495,76317,76317
496,75646,75646
497,75629,75629
498,79054,79054
499,79216,79216
500,77168,77168
501,72848,72848
502,69362,69362
503,66426,66426
504,62138,62138
505,58875,58875
506,56712,56712
507,55662,55662
508,55637,55637
509,56725,56725
510,59825,59825
511,67582,67582
512,75122,75122
513,77550,77550
514,77879,77879
515,78855,78855
516,79615,79615
517,78821,78821
518,78352,78352
519,77589,77589
520,76877,76877
521,76511,76511
522,79186,79186
523,79082,79082
524,76869,76869
525,72648,72648
526,69128,69128
527,66502,66502
528,61932,61932
529,58665,58665
530,56550,56550
531,55526,55526
532,55807,55807
533,56897,56897
534,59845,59845
535,67336,67336
536,74744,74744
537,77453,77453
538,77644,77644
539,78664,78664
540,79222,79222
541,78338,78338
542,77161,77161
543,75819,75819
544,74909,74909
545,74866,74866
546,77771,77771
547,77354,77354
548,74687,74687
549,70298,70298
550,66911,66911
551,64697,64697
552,61251,61251
553,58152,58152
554,55669,55669
555,54184,54184
556,53663,53663
557,53365,53365
558,53055,53055
559,53473,53473
560,57123,57123
561,60876,60876
562,64504,64504
563,66980,66980
564,68336,68336
565,67657,67657
566,65315,65315
567,63680,63680
568,62786,62786
569,63152,63152
570,67263,67263
571,68107,68107
572,65882,65882
573,61847,61847
574,59308,59308
575,58749,58749
576,55761,55761
577,52622,52622
578,50408,50408
579,49173,49173
580,48499,48499
581,48247,48247
582,47632,47632
583,46640,46640
584,48399,48399
585,51336,51336
586,55445,55445
587,58710,58710
588,61425,61425
589,61142,61142
590,59167,59167
591,57711,57711
592,57075,57075
593,57854,57854
594,62721,62721
595,64744,64744
596,63275,63275
597,60639,60639
598,59198,59198
599,59380,59380
600,56384,56384
601,53453,53453
602,51575,51575
603,50951,50951
604,51265,51265
605,52967,52967
606,57075,57075
607,66488,66488
608,73964,73964
609,76646,76646
610,77075,77075
611,78449,78449
612,79748,79748
613,79433,79433
614,78642,78642
615,77428,77428
616,76603,76603
617,76057,76057
618,78782,78782
619,78719,78719
620,76692,76692
621,72265,72265
622,68884,68884
623,66095,66095
624,61743,61743
625,58427,58427
626,56333,56333
627,55288,55288
628,55450,55450
629,56618,56618
630,59920,59920
631,67898,67898
632,75037,75037
633,76895,76895
634,76801,76801
635,77709,77709
636,78549,78549
637,78072,78072
638,77634,77634
639,76527,76527
640,75539,75539
641,74661,74661
642,77456,77456
643,78231,78231
644,76471,76471
645,71931,71931
646,68398,68398
647,65385,65385
648,60801,60801
649,57550,57550
650,55188,55188
651,54094,54094
652,54321,54321
653,55793,55793
654,59160,59160
655,67148,67148
656,74415,74415
657,76599,76599
658,76930,76930
