"","clusters","Freq"
"1","1",0.0281774580335731
"2","2",0.0425659472422062
"3","3",0.0341726618705036
"4","4",0.0209832134292566
"5","5",0.0497601918465228
"6","6",0.0365707434052758
"7","7",0.0773381294964029
"8","8",0.0497601918465228
"9","9",0.0317745803357314
"10","10",0.0623501199040767
"11","11",0.0719424460431655
"12","12",0.0299760191846523
"13","13",0.0119904076738609
"14","14",0.013189448441247
"15","15",0.0281774580335731
"16","16",0.0353717026378897
"17","17",0.0215827338129496
"18","18",0.0161870503597122
"19","19",0.0143884892086331
"20","20",0.0167865707434053
"21","21",0.0455635491606715
"22","22",0.0479616306954436
"23","23",0.0179856115107914
"24","24",0.0341726618705036
"25","25",0.0119904076738609
"26","26",0.0203836930455636
"27","27",0.0107913669064748
"28","28",0.0311750599520384
"29","29",0.0671462829736211
"30","30",0.0197841726618705
