"","BNL_pv_national_current","BNL_wind_onshore_current","BNL_wind_offshore_current","DE_pv_national_current","DE_wind_onshore_current","DE_wind_offshore_current","DK_pv_national_current","DK_wind_onshore_current","DK_wind_offshore_current","FR_pv_national_current","FR_wind_onshore_current","FR_wind_offshore_current","GB_pv_national_current","GB_wind_onshore_current","GB_wind_offshore_current","IBE_pv_national_current","IBE_wind_onshore_current","BNL_load_entsoe_power_statistics","DE_load_entsoe_power_statistics","DK_load_entsoe_power_statistics","FR_load_entsoe_power_statistics","GB_load_entsoe_power_statistics","IBE_load_entsoe_power_statistics"
"269023",0.120154,0.1385568,0.2346395,0.1683,0.0388,0.0885,0.1125,0.0339,0.0717,0.1063,0.1408,0.2337,0.0581,0.2297,0.3473,0.028082,0.079495,24992,66253,4430,51874,33371,34281
"269024",0.2719618,0.1096438,0.213075,0.3279,0.0633,0.1077,0.1712,0.0261,0.0718,0.2537,0.1017,0.0746,0.191,0.2084,0.331,0.148115,0.0581375,25682,66952,4472,52793,34468,36373
"269025",0.4105832,0.1551748,0.239448,0.4623,0.0999,0.1261,0.244,0.0319,0.0747,0.3936,0.1346,0.0177,0.3406,0.2757,0.3665,0.3072545,0.057883,25768,67998,4553,53541,34233,37506
"269026",0.5159506,0.197568,0.2642559,0.5548,0.1137,0.1389,0.3172,0.0433,0.0818,0.5054,0.1621,0.0113,0.4602,0.322,0.3886,0.448963,0.0588545,25929,69010,4541,54325,33092,38200
"269027",0.5851704,0.2133018,0.2904603,0.5975,0.1115,0.1391,0.3621,0.0548,0.0943,0.579,0.1603,0.0148,0.5455,0.3452,0.4072,0.5503995,0.062335,25546,68286,4447,53963,32270,38775
"269028",0.6139786,0.1973964,0.2911493,0.5905,0.1105,0.1306,0.3561,0.0606,0.1036,0.6107,0.14,0.012,0.5945,0.3575,0.4241,0.607323,0.0711135,25617,67627,4456,53197,31775,38566
"269029",0.6032026,0.1731042,0.263099,0.5383,0.1165,0.1232,0.2957,0.0648,0.1138,0.5973,0.1207,0.0078,0.6018,0.3591,0.4329,0.619335,0.08272,25476,66547,4371,52169,31046,37611
"269030",0.5593352,0.1588092,0.2312957,0.4562,0.1306,0.1266,0.2177,0.0718,0.1335,0.5391,0.1107,0.0088,0.5673,0.3553,0.4303,0.5839825,0.097195,25308,65190,4224,50954,30606,37375
"269031",0.4722402,0.160761,0.2143619,0.3451,0.15,0.1431,0.1521,0.0815,0.1624,0.4446,0.1111,0.0122,0.4909,0.3474,0.4196,0.5015995,0.1120325,25324,63630,4184,49646,30913,37316
"269032",0.3389678,0.180359,0.2229859,0.2199,0.1611,0.1839,0.0924,0.0894,0.1986,0.3171,0.1219,0.0196,0.3752,0.339,0.4095,0.3842525,0.12209,25468,63117,4375,49474,32941,37200
"269033",0.18025,0.1936222,0.2495058,0.093,0.1491,0.2463,0.0414,0.0984,0.2293,0.175,0.1304,0.0336,0.2323,0.3171,0.3911,0.246045,0.127789,24951,63232,4266,51011,34557,36796
"269034",0.043101,0.232637,0.2907998,0.0113,0.1758,0.3155,0.0034,0.1147,0.2477,0.0517,0.1755,0.079,0.0963,0.297,0.386,0.104913,0.1376295,24382,63807,4099,49894,35113,36261
"269035",0,0.3088348,0.3341098,0,0.215,0.3732,0,0.1322,0.2633,5e-04,0.2502,0.1511,0.0071,0.3369,0.4398,0.008107,0.166497,24960,64324,4091,50123,35940,37459
"269036",0,0.3422904,0.36361,0,0.2152,0.3943,0,0.1362,0.2654,0,0.29,0.1925,0,0.373,0.5066,0,0.1867005,24288,60370,3844,46791,36709,38607
"269037",0,0.3315114,0.3723327,0,0.2061,0.3999,0,0.1384,0.27,0,0.2947,0.201,0,0.3756,0.5349,0,0.1659485,23039,55823,3474,49226,33803,35408
"269038",0,0.3093714,0.3408829,0,0.1976,0.4073,0,0.148,0.2872,0,0.2838,0.1681,0,0.3715,0.5348,0,0.1371345,21584,51282,3127,47687,29752,32719
"269039",0,0.292591,0.30872,0,0.1878,0.4055,0,0.1618,0.3238,0,0.2646,0.1291,0,0.3711,0.527,0,0.1121445,20165,48144,2976,42338,25654,30775
"269040",0,0.274822,0.2874212,0,0.1793,0.3727,0,0.1735,0.3369,0,0.2398,0.1177,0,0.3644,0.5121,0,0.0919565,19206,46141,2792,41125,23026,29035
"269041",0,0.2572414,0.2761138,0,0.1667,0.3271,0,0.1888,0.3592,0,0.2121,0.1242,0,0.3568,0.4891,0,0.0781905,18647,45061,2715,38913,22188,27811
"269042",0,0.2354414,0.2558447,0,0.1548,0.2866,0,0.2074,0.3618,0,0.1872,0.1317,0,0.354,0.4569,0,0.069371,18498,45343,2728,37472,21693,27192
"269043",0,0.215421,0.2352973,0,0.1438,0.2599,0,0.2255,0.3654,0,0.1673,0.1217,0,0.3539,0.4309,0,0.064517,18686,46492,2784,37685,21393,26873
"269044",0,0.1972204,0.219404,0,0.138,0.246,0,0.2407,0.3724,0,0.148,0.0869,0,0.3428,0.4066,0,0.0619065,19469,50495,3044,40746,21404,26908
"269045",0,0.1835628,0.2087754,0,0.1302,0.2487,0,0.2517,0.3781,0,0.1341,0.0656,0,0.3333,0.3838,0,0.0626635,21661,58936,3646,46971,22787,28261
"269046",0.0125058,0.1690456,0.2044158,0.033,0.1075,0.2693,0.0578,0.2512,0.3797,0.0059,0.1274,0.0803,1e-04,0.332,0.3907,0,0.067535,23919,64194,4197,49901,27230,30726
"269047",0.114296,0.1076562,0.1900967,0.1503,0.0802,0.291,0.2086,0.2103,0.3666,0.0949,0.0882,0.1334,0.0507,0.3191,0.3896,0.041029,0.0675115,25312,66685,4423,51600,32794,32565
"269048",0.2795636,0.0836884,0.1893568,0.3082,0.0941,0.3072,0.3393,0.2452,0.4029,0.2383,0.0538,0.1511,0.1719,0.3218,0.3853,0.1857525,0.0547165,25984,67442,4466,52666,33740,34421
"269049",0.4273426,0.0896042,0.1910442,0.4343,0.1085,0.3316,0.3784,0.2815,0.4489,0.3756,0.0623,0.2021,0.3137,0.4042,0.4273,0.3551155,0.075244,26022,68397,4558,53136,33814,35615
"269050",0.5416734,0.1024726,0.1900075,0.5255,0.1172,0.3557,0.3434,0.312,0.4823,0.4829,0.0805,0.2867,0.4214,0.4527,0.4625,0.49587,0.116858,26115,69250,4496,53902,32992,36421
"269051",0.6080812,0.0987298,0.1821779,0.5547,0.1209,0.3737,0.2982,0.3414,0.5011,0.5495,0.0867,0.3612,0.4835,0.4908,0.4926,0.593271,0.1460765,25576,68176,4373,53840,32449,37187
"269052",0.6348264,0.081033,0.1466439,0.5375,0.118,0.3865,0.2601,0.376,0.5266,0.5617,0.0889,0.4172,0.5134,0.5139,0.5114,0.6413115,0.167703,25545,66598,4286,52437,31862,37180
"269053",0.6180624,0.0617866,0.102216,0.4911,0.1132,0.3658,0.23,0.4143,0.5778,0.5286,0.0917,0.4478,0.5044,0.5199,0.5071,0.640018,0.192167,25270,65320,4130,51384,31101,36579
"269054",0.5613796,0.04759,0.0681744,0.4177,0.1091,0.3266,0.2056,0.4415,0.6076,0.4639,0.0939,0.4537,0.4568,0.5125,0.4847,0.5939865,0.2193395,24919,63878,4002,49831,30734,35826
