utc_timestamp,cet_cest_timestamp,interpolated_values,DE_load_entsoe_power_statistics,DK_load_entsoe_power_statistics,ES_load_entsoe_power_statistics,FR_load_entsoe_power_statistics,GB_load_entsoe_power_statistics
2011-01-01T00:00:00Z,2011-01-01T01:00:00+0100,,46209,3683,24709,68546,34849
2011-01-01T01:00:00Z,2011-01-01T02:00:00+0100,,44236,3525,22895,66091,34187
2011-01-01T02:00:00Z,2011-01-01T03:00:00+0100,,42502,3383,21429,62823,32368
2011-01-01T03:00:00Z,2011-01-01T04:00:00+0100,,41479,3287,20425,60649,30488
2011-01-01T04:00:00Z,2011-01-01T05:00:00+0100,,39923,3268,19996,59922,28446
2011-01-01T05:00:00Z,2011-01-01T06:00:00+0100,,37054,3354,19901,59350,27376
2011-01-01T06:00:00Z,2011-01-01T07:00:00+0100,,37075,3451,20015,59619,27171
2011-01-01T07:00:00Z,2011-01-01T08:00:00+0100,,37694,3499,19671,59544,26781
2011-01-01T08:00:00Z,2011-01-01T09:00:00+0100,,40026,3567,19956,61378,27420
2011-01-01T09:00:00Z,2011-01-01T10:00:00+0100,,42757,3780,21485,63439,30366
2011-01-01T10:00:00Z,2011-01-01T11:00:00+0100,,45760,3876,22895,65411,33547
2011-01-01T11:00:00Z,2011-01-01T12:00:00+0100,,46897,3914,23605,68526,36273
2011-01-01T12:00:00Z,2011-01-01T13:00:00+0100,,46277,3867,24428,66025,37894
2011-01-01T13:00:00Z,2011-01-01T14:00:00+0100,,45775,3875,24698,64070,38171
2011-01-01T14:00:00Z,2011-01-01T15:00:00+0100,,45682,3986,23667,63134,38311
2011-01-01T15:00:00Z,2011-01-01T16:00:00+0100,,47270,4431,23375,63760,38877
2011-01-01T16:00:00Z,2011-01-01T17:00:00+0100,,51397,4841,24077,68463,41843
2011-01-01T17:00:00Z,2011-01-01T18:00:00+0100,,52165,4810,26957,70721,43694
2011-01-01T18:00:00Z,2011-01-01T19:00:00+0100,,51343,4547,28124,71057,42529
2011-01-01T19:00:00Z,2011-01-01T20:00:00+0100,,49536,4298,28746,69568,40848
2011-01-01T20:00:00Z,2011-01-01T21:00:00+0100,,48873,4068,29273,67355,39123
2011-01-01T21:00:00Z,2011-01-01T22:00:00+0100,,49465,3812,29239,70633,37148
2011-01-01T22:00:00Z,2011-01-01T23:00:00+0100,,46970,3551,27654,69202,35138
2011-01-01T23:00:00Z,2011-01-02T00:00:00+0100,,43949,3325,25287,65241,33028
2011-01-02T00:00:00Z,2011-01-02T01:00:00+0100,,41708,3160,22854,64929,33044
2011-01-02T01:00:00Z,2011-01-02T02:00:00+0100,,40489,3089,20988,62743,31901
2011-01-02T02:00:00Z,2011-01-02T03:00:00+0100,,39711,3065,19974,60227,30931
2011-01-02T03:00:00Z,2011-01-02T04:00:00+0100,,39407,3107,19521,59184,30143
2011-01-02T04:00:00Z,2011-01-02T05:00:00+0100,,38394,3181,19640,59455,28692
2011-01-02T05:00:00Z,2011-01-02T06:00:00+0100,,36450,3362,20139,60240,28158
2011-01-02T06:00:00Z,2011-01-02T07:00:00+0100,,37746,3610,20923,61621,28555
2011-01-02T07:00:00Z,2011-01-02T08:00:00+0100,,40223,3878,21418,62879,28888
2011-01-02T08:00:00Z,2011-01-02T09:00:00+0100,,44044,4130,22769,65496,30541
2011-01-02T09:00:00Z,2011-01-02T10:00:00+0100,,46999,4266,25008,67646,34241
2011-01-02T10:00:00Z,2011-01-02T11:00:00+0100,,50112,4282,26323,69089,37626
2011-01-02T11:00:00Z,2011-01-02T12:00:00+0100,,50307,4226,26229,71429,39831
2011-01-02T12:00:00Z,2011-01-02T13:00:00+0100,,48296,4161,26712,68128,40942
2011-01-02T13:00:00Z,2011-01-02T14:00:00+0100,,46952,4166,26849,65823,40863
2011-01-02T14:00:00Z,2011-01-02T15:00:00+0100,,46659,4262,26017,64546,40819
2011-01-02T15:00:00Z,2011-01-02T16:00:00+0100,,48578,4767,25543,65609,41615
2011-01-02T16:00:00Z,2011-01-02T17:00:00+0100,,53431,5298,26098,72081,45224
2011-01-02T17:00:00Z,2011-01-02T18:00:00+0100,,54407,5207,29207,75807,46936
2011-01-02T18:00:00Z,2011-01-02T19:00:00+0100,,53168,4914,30531,75983,45505
2011-01-02T19:00:00Z,2011-01-02T20:00:00+0100,,50724,4596,31434,73611,43539
2011-01-02T20:00:00Z,2011-01-02T21:00:00+0100,,50277,4342,32043,70927,41772
2011-01-02T21:00:00Z,2011-01-02T22:00:00+0100,,51200,4032,31686,73505,39355
2011-01-02T22:00:00Z,2011-01-02T23:00:00+0100,,49244,3727,29545,72032,37037
2011-01-02T23:00:00Z,2011-01-03T00:00:00+0100,,46273,3498,26777,68466,34797
2011-01-03T00:00:00Z,2011-01-03T01:00:00+0100,,44234,3371,24165,68829,34790
2011-01-03T01:00:00Z,2011-01-03T02:00:00+0100,,43111,3334,22355,67278,33763
2011-01-03T02:00:00Z,2011-01-03T03:00:00+0100,,42779,3343,21540,65286,32809
2011-01-03T03:00:00Z,2011-01-03T04:00:00+0100,,43867,3435,21364,65808,31897
2011-01-03T04:00:00Z,2011-01-03T05:00:00+0100,,46307,3726,22101,69452,30547
2011-01-03T05:00:00Z,2011-01-03T06:00:00+0100,,51555,4496,24808,76687,30259
2011-01-03T06:00:00Z,2011-01-03T07:00:00+0100,,58542,5312,28575,82564,31233
2011-01-03T07:00:00Z,2011-01-03T08:00:00+0100,,62594,5639,32385,83451,31889
2011-01-03T08:00:00Z,2011-01-03T09:00:00+0100,,64472,5629,34711,84154,33845
2011-01-03T09:00:00Z,2011-01-03T10:00:00+0100,,66161,5648,36385,84008,37737
2011-01-03T10:00:00Z,2011-01-03T11:00:00+0100,,67000,5576,36745,84515,40734
2011-01-03T11:00:00Z,2011-01-03T12:00:00+0100,,67258,5449,36147,84658,42264
2011-01-03T12:00:00Z,2011-01-03T13:00:00+0100,,66368,5440,35901,83011,43145
2011-01-03T13:00:00Z,2011-01-03T14:00:00+0100,,65330,5393,34425,80895,43170
2011-01-03T14:00:00Z,2011-01-03T15:00:00+0100,,64734,5302,33878,79801,43242
