"","clusters","Freq"
"1","1",0.0155821917808219
"2","2",0.0417808219178082
"3","3",0.0215753424657534
"4","4",0.0164383561643836
"5","5",0.0232020547945205
"6","6",0.023972602739726
"7","7",0.0172945205479452
"8","8",0.0267979452054795
"9","9",0.0372431506849315
"10","10",0.0277397260273973
"11","11",0.0258561643835616
"12","12",0.0736301369863014
"13","13",0.0566780821917808
"14","14",0.0545376712328767
"15","15",0.0237157534246575
"16","16",0.0705479452054795
"17","17",0.0417808219178082
"18","18",0.0246575342465753
"19","19",0.0238013698630137
"20","20",0.0363013698630137
"21","21",0.0375
"22","22",0.0280821917808219
"23","23",0.0299657534246575
"24","24",0.0360445205479452
"25","25",0.0117294520547945
"26","26",0.0339897260273973
"27","27",0.0651541095890411
"28","28",0.0360445205479452
"29","29",0.0230308219178082
"30","30",0.0153253424657534
