Technology,DK,FR,DE,IB,LU,UK
Lignite,0.0,0.0,9688.917051000004,0.0,14974.535782937288,0.0
Coal,0.0,0.0,0.0,0.0,0.0,0.0
Gas,6181.241237882177,55188.536835749466,56211.89285826706,15371.443966618126,36539.90965481059,32843.29065587566
WindOnshore,13560.154113845389,147375.80726016275,169085.71,88596.92289533238,47651.42856,107064.12714470745
WindOffshore,0.0,18704.412629220085,0.0,0.0,35646.37434908068,0.0
PVGround,1977.7878943008766,86152.87716684042,55945.63,92770.37005149327,12910.5298,22776.572110322733
PVRoof,0.0,0.0,48635.0892233303,0.0,25993.2,0.0
PumpedStor,0.0,14235.0,6931.0,27992.58605747947,3228.0,5994.0
BatteryStor,0.0,0.0,0.0,0.0,0.0,0.0
