Technology,DK,FR,DE,IB,LU,UK
Lignite,0.0,0.0,10209.184174986282,0.0,16149.579350821645,0.0
Coal,0.0,0.0,0.0,0.0,0.0,0.0
Gas,5841.242594977462,54603.55469755266,52911.18566280167,15172.002679462732,37692.69783044677,36723.895692893115
WindOnshore,13287.990985189956,173453.7108541429,168926.52396111097,81427.37001773834,47651.42856,100790.70287504613
WindOffshore,0.0,11805.769039692044,0.0,0.0,36411.58731686225,0.0
PVGround,3306.966855996899,87833.69979094782,55945.63,108256.35351891906,12910.5298,40562.47044504512
PVRoof,0.0,0.0,62755.26882838058,0.0,25993.2,0.0
PumpedStor,0.0,14235.0,6931.0,33915.13148830385,3228.0,5994.0
BatteryStor,0.0,0.0,0.0,0.0,0.0,0.0
