Hour,PV,WindOnshore,WindOffshore
215,0,0.251,0.575
216,0,0.2565,0.6315
217,0,0.2625,0.7028
218,0,0.2703,0.7601
219,0,0.2852,0.8134
220,0,0.3023,0.8252
221,0,0.304,0.8247
222,0,0.3169,0.834
223,0,0.3385,0.8366
224,0,0.3528,0.8367
225,0.0046,0.3518,0.832
226,0.0306,0.3451,0.8136
227,0.0592,0.3391,0.8173
228,0.0808,0.3315,0.8054
229,0.0975,0.3091,0.7943
230,0.1009,0.2877,0.772
231,0.0771,0.2682,0.7362
232,0.0314,0.2459,0.7472
233,0.002,0.2532,0.7544
234,0,0.2704,0.7124
235,0,0.2806,0.6852
236,0,0.2933,0.696
237,0,0.2838,0.6325
238,0,0.2596,0.5211
239,0,0.2386,0.5414
240,0,0.2295,0.5639
241,0,0.2184,0.5363
242,0,0.2068,0.4638
243,0,0.1916,0.4639
244,0,0.1655,0.3761
245,0,0.1471,0.3893
246,0,0.1287,0.3628
247,0,0.1236,0.3386
248,0,0.13,0.3176
249,0.0023,0.1434,0.2837
250,0.014,0.1495,0.3248
251,0.0344,0.1499,0.299
252,0.0509,0.1442,0.2656
253,0.0573,0.1291,0.2857
254,0.0511,0.1232,0.2993
255,0.0332,0.1338,0.2752
256,0.0152,0.1579,0.303
257,0.0022,0.1755,0.3835
258,0,0.199,0.4745
259,0,0.217,0.4776
260,0,0.2258,0.4428
261,0,0.2287,0.437
262,0,0.2276,0.4271
263,0,0.2226,0.4456
264,0,0.2157,0.4402
265,0,0.2096,0.4571
266,0,0.2064,0.4182
267,0,0.2054,0.3796
268,0,0.2142,0.3258
269,0,0.227,0.2998
270,0,0.2412,0.2795
271,0,0.2504,0.3515
272,0,0.252,0.3873
273,0.0034,0.2563,0.387
274,0.0202,0.2623,0.4109
275,0.045,0.274,0.4552
276,0.065,0.2813,0.4332
277,0.0805,0.296,0.333
278,0.0804,0.302,0.3516
279,0.0622,0.2962,0.3872
280,0.028,0.2887,0.3032
281,0.003,0.2942,0.2874
282,0,0.3104,0.2552
283,0,0.3189,0.2507
284,0,0.3359,0.2228
285,0,0.3555,0.2295
286,0,0.3587,0.2456
287,0,0.3612,0.2057
288,0,0.3619,0.2247
289,0,0.3624,0.281
290,0,0.3596,0.4024
291,0,0.3594,0.5346
292,0,0.3668,0.6642
293,0,0.3674,0.7402
294,0,0.3816,0.779
295,0,0.4093,0.727
296,0,0.4213,0.6115
297,0.003,0.4121,0.4116
298,0.0164,0.401,0.2298
299,0.0397,0.3936,0.1298
300,0.0578,0.3796,0.0749
301,0.0661,0.37,0.0617
302,0.0608,0.353,0.053
303,0.0455,0.3347,0.0702
304,0.0198,0.3162,0.1077
305,0.0022,0.3071,0.1217
306,0,0.2784,0.2138
307,0,0.236,0.3669
308,0,0.2135,0.3475
309,0,0.1993,0.313
310,0,0.188,0.2416
311,0,0.1911,0.2529
312,0,0.2008,0.2891
313,0,0.2184,0.263
314,0,0.2172,0.186
315,0,0.2127,0.1254
316,0,0.2082,0.1327
317,0,0.1931,0.1078
318,0,0.1924,0.143
319,0,0.2029,0.2023
320,0,0.2162,0.2589
321,0.0121,0.2255,0.3072
322,0.0764,0.2244,0.3982
323,0.1584,0.2153,0.4643
324,0.2264,0.2121,0.5392
325,0.2517,0.211,0.5603
326,0.2191,0.2015,0.6059
327,0.1447,0.193,0.5908
328,0.049,0.1863,0.5833
329,0.003,0.1952,0.5186
330,0,0.2161,0.4546
331,0,0.2376,0.4012
332,0,0.237,0.2726
333,0,0.2334,0.2761
334,0,0.2317,0.2653
335,0,0.2225,0.2392
336,0,0.2192,0.2248
337,0,0.2167,0.2306
338,0,0.216,0.2622
339,0,0.2126,0.2774
340,0,0.2039,0.3363
341,0,0.2006,0.407
342,0,0.1957,0.455
343,0,0.1945,0.5394
344,0,0.189,0.5657
345,0.0034,0.1808,0.5805
346,0.0171,0.1692,0.4875
347,0.0313,0.1607,0.379
348,0.043,0.1451,0.3092
349,0.0461,0.1347,0.2331
350,0.0419,0.1248,0.1919
351,0.027,0.1125,0.164
352,0.0115,0.103,0.1261
353,0.0013,0.0949,0.1026
354,0,0.0899,0.0746
355,0,0.0893,0.046
356,0,0.0841,0.0223
357,0,0.0737,0.0147
358,0,0.0699,0.0192
359,0,0.0616,0.0283
360,0,0.0544,0.0268
361,0,0.0501,0.0393
362,0,0.0458,0.0649
363,0,0.0423,0.0814
364,0,0.0453,0.0966
365,0,0.0539,0.0682
366,0,0.061,0.0293
367,0,0.0637,0.046
368,0,0.071,0.1045
369,0.0025,0.082,0.2271
370,0.0138,0.0889,0.3275
371,0.0284,0.097,0.3456
372,0.0408,0.112,0.4059
373,0.0457,0.132,0.3177
