Country,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
DE,28301.067596098106,0.0,29923.953115611726,169085.71,0.0,55945.63,27338.517112184552
DK,490.2889700650039,0.0,4406.142125676187,15690.726777933956,0.0,1357.670095601994,0.0
FR,8713.498918680572,0.0,30499.3216675182,191819.1271444274,8941.31873875628,53778.29640103016,0.0
IB,7711.19139173105,0.0,23069.713318818813,109969.31400834389,0.0,41145.76945979153,0.0
LU,11956.604122264547,0.0,13787.605292538003,47651.42856,0.0,12910.5298,13067.589447740476
UK,11956.604122264547,0.0,13787.605292538003,47651.42856,0.0,12910.5298,13067.589447740476

