Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,0.0,0.0,0.0,2765.0888113079027,0.0,0.0,0.0
2.0,0.0,0.0,0.0,2796.015071525886,0.0,0.0,0.0
3.0,880.7656249999995,0.0,0.0,2837.4843750000005,0.0,0.0,0.0
4.0,0.0,0.0,0.0,2965.4066331743875,0.0,0.0,0.0
5.0,893.7838044959121,0.0,0.0,3102.466195504088,0.0,0.0,0.0
6.0,1212.9436307901901,0.0,0.0,3112.30636920981,0.0,0.0,0.0
7.0,1467.343196525885,0.0,0.0,3136.906803474115,0.0,0.0,0.0
8.0,0.0,0.0,0.0,3200.1650630108993,0.0,0.0,0.0
9.0,1627.6494805858301,0.0,0.0,3172.7531505449597,0.0,0.0,0.0
10.0,1627.6494805858301,0.0,0.0,3093.328891348774,0.0,0.0,0.0
11.0,0.0,0.0,0.0,3087.705934945505,0.0,0.0,0.0
12.0,0.0,0.0,0.0,3212.816714918257,0.0,0.0,0.0
13.0,1627.6494805858301,0.0,0.0,3240.228627384197,0.0,0.0,0.0
14.0,1532.6094601498635,0.0,0.0,3267.6405398501365,0.0,0.0,0.0
15.0,1623.6831999318797,0.0,0.0,3298.5668000681203,0.0,0.0,0.0
16.0,0.0,0.0,0.0,3370.2594942098094,0.0,0.0,0.0
17.0,1627.6494805858301,0.0,0.0,3457.415318460491,0.0,0.0,0.0
18.0,1579.7300749318797,0.0,0.0,3556.5199250681203,0.0,0.0,0.0
19.0,0.0,0.0,0.0,3652.110183923706,0.0,0.0,0.0
20.0,957.5146883514976,0.0,0.0,3780.7353116485024,0.0,0.0,0.0
21.0,542.7072121934598,0.0,0.0,3880.54278780654,0.0,0.0,0.0
22.0,318.4326038828335,0.0,0.0,3898.8173961171665,0.0,0.0,0.0
23.0,266.50851498637576,0.0,0.0,3806.7414850136242,0.0,0.0,0.0
24.0,242.13364271117143,0.0,0.0,3678.1163572888286,0.0,0.0,0.0
