Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,0.0,0.0,43994.44375116409,0.0,0.0,0.0,0.0
2.0,0.0,0.0,38833.75,0.0,0.0,0.0,0.0
3.0,0.0,0.0,38865.75,0.0,0.0,0.0,0.0
4.0,0.0,0.0,39284.75,0.0,0.0,0.0,0.0
5.0,0.0,0.0,41615.17312348668,0.0,0.0,0.0,0.0
6.0,0.0,0.0,43308.787949338795,0.0,0.0,0.0,0.0
7.0,0.0,0.0,44048.75,0.0,0.0,0.0,0.0
8.0,0.0,0.0,47183.75,0.0,0.0,0.0,0.0
9.0,0.0,0.0,51784.708651517976,0.0,0.0,0.0,0.0
10.0,0.0,0.0,52367.66651145465,0.0,0.0,0.0,0.0
11.0,0.0,0.0,52379.49087353324,0.0,0.0,0.0,0.0
12.0,0.0,0.0,50574.374417954925,0.0,0.0,0.0,0.0
13.0,0.0,0.0,48410.86436021605,0.0,0.0,0.0,0.0
14.0,0.0,0.0,45682.75,0.0,0.0,0.0,0.0
15.0,0.0,0.0,45781.75,0.0,0.0,0.0,0.0
16.0,0.0,0.0,49300.38303222202,0.0,0.0,0.0,0.0
17.0,0.0,0.0,52428.75,0.0,0.0,0.0,0.0
18.0,0.0,0.0,54896.72458125709,0.0,0.0,0.0,0.0
19.0,0.0,0.0,51590.75,0.0,0.0,0.0,0.0
20.0,0.0,0.0,48015.75,0.0,0.0,0.0,0.0
21.0,0.0,0.0,45589.75,0.0,0.0,0.0,0.0
22.0,0.0,0.0,44270.75,0.0,0.0,0.0,0.0
23.0,0.0,0.0,40910.75,0.0,0.0,0.0,0.0
24.0,0.0,0.0,37820.75,0.0,0.0,0.0,0.0
