Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,0.0,0.0,0.0,2457.4890129682994,0.0,0.0,0.0
2.0,1047.419658550727,0.0,0.0,2373.8720280979824,0.0,0.0,0.0
3.0,0.0,0.0,0.0,2410.72019092219,0.0,0.0,0.0
4.0,0.0,0.0,0.0,2495.7544128242075,0.0,42.4761856042902,0.0
5.0,1047.419658550727,0.0,0.0,2344.1100504322767,0.0,198.4796309145924,0.0
6.0,1047.419658550727,0.0,0.0,2253.406880403458,0.0,418.5835017731871,0.0
7.0,1047.419658550727,0.0,1057.2346929674418,2118.7693623919304,0.0,651.4302283130688,0.0
8.0,0.0,0.0,0.0,2280.3343840057632,0.0,910.9211076410962,0.0
9.0,0.0,0.0,0.0,2524.099153458213,0.0,1182.7686955085535,0.0
10.0,1047.419658550727,0.0,0.0,2650.233249279539,0.0,1504.8154118174448,0.0
11.0,0.0,0.0,0.0,2773.5328710374642,0.0,1805.2378881823338,0.0
12.0,0.0,0.0,0.0,2858.567092939481,0.0,1933.0525921370615,0.0
13.0,0.0,0.0,0.0,2896.8324927953886,0.0,1859.2984880423394,0.0
14.0,0.0,0.0,0.0,2835.8913004322767,0.0,1634.5608514814585,0.0
15.0,1047.419658550727,0.0,0.0,2658.7366714697405,0.0,1332.979933690998,0.0
16.0,0.0,0.0,0.0,2335.6066282420747,0.0,957.6449118058155,0.0
17.0,0.0,0.0,0.0,1951.5353926512967,0.0,618.9938683970654,0.0
18.0,1047.419658550727,0.0,1919.410706295534,1635.4915345821323,0.0,330.9281005716064,0.0
19.0,1047.419658550727,0.0,0.0,1429.9921649855908,0.0,116.61643684086947,0.0
20.0,1047.419658550727,0.0,2290.018491719404,1387.4750540345822,0.0,7.336795695286489,0.0
21.0,1047.419658550727,0.0,0.0,1517.8608609510086,0.0,0.0,0.0
22.0,1047.419658550727,0.0,2003.3388068671406,1635.4915345821323,0.0,0.0,0.0
23.0,1047.419658550727,0.0,0.0,1652.498378962536,0.0,0.0,0.0
24.0,1047.419658550727,0.0,1559.1664365501374,1649.6639048991353,0.0,0.0,0.0
