Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,6643.147361822848,0.0,0.0,28575.48499,327.1271957682202,0.0,0.0
2.0,6907.171237301498,0.0,0.0,28000.593576,352.7310738900422,0.0,0.0
3.0,9968.865656266174,0.0,0.0,27544.062158999997,382.5520613495761,0.0,0.0
4.0,20139.323389910267,0.0,0.0,25075.410792999995,402.1314975603812,117.48582299999998,229.01728724347947
5.0,32380.96940900488,0.0,0.0,19140.502372,421.1084895800846,1868.584042,3642.465425682007
6.0,32380.96940900488,0.0,0.0,17365.102417,448.8209223707625,5471.482614,10665.662234482044
7.0,15733.90520771086,0.0,0.0,21389.342314999998,495.8115692766947,11144.369496,21723.92553281005
8.0,0.0,0.0,0.0,25531.942209999997,0.0,14790.761246063179,33578.29654393683
9.0,0.0,0.0,0.0,28541.667848,0.0,3385.614065097907,43578.718086902096
10.0,0.0,0.0,0.0,18480.558508655646,0.0,0.0,48115.441491344354
11.0,0.0,0.0,0.0,34392.033414,0.0,0.0,42289.966586
12.0,0.0,0.0,0.0,38416.273312,0.0,0.0,30264.726688000002
13.0,0.0,0.0,0.0,43302.850330999994,0.0,0.0,20618.149669000006
14.0,0.0,0.0,0.0,47462.358797,0.0,0.0,15035.641203
15.0,0.0,0.0,0.0,49119.398754999995,0.0,0.0,15126.601245000005
16.0,0.0,0.0,0.0,46701.473101999996,0.0,0.0,20802.526898000004
17.0,0.0,0.0,0.0,39329.336146,0.0,4618.131938452087,15878.531915547912
18.0,13478.498264352345,0.0,0.0,30519.970654999997,1085.303210269703,4268.651569000001,8320.96143651309
19.0,21153.58271378859,0.0,0.0,29420.913539999998,1060.9042205300843,1057.372407,2061.1555851913154
20.0,26155.345715877334,0.0,0.0,32430.639177999998,1054.8797786190673,5.594563,10.905585106832357
21.0,15499.267071662538,0.0,0.0,34983.833398999996,1044.6382273703384,0.0,0.0
22.0,6955.071705700428,0.0,0.0,36556.330502,1022.3477922995758,0.0,0.0
23.0,2327.3298423591104,0.0,0.0,37706.11333,938.3068276408894,0.0,0.0
24.0,993.3821006997858,0.0,0.0,37012.861919,839.5059803002115,0.0,0.0
25.0,1053.3136650718243,0.0,0.0,36235.067653,756.3686819281776,0.0,0.0
26.0,2508.6680917750045,0.0,0.0,35000.741969999995,675.3399382249997,0.0,0.0
27.0,4885.596348675849,0.0,0.0,34070.770565,587.3830863241523,0.0,0.0
28.0,9593.957591337936,0.0,0.0,32227.736326,506.05312052542354,111.89126,218.11170213664712
29.0,22824.493155692424,0.0,0.0,27662.422155999997,416.288936051271,2193.068696,4274.9893618782835
30.0,14899.103410225012,0.0,0.0,28321.856425,354.83962855889814,6802.988608,13261.191489908146
31.0,0.0,0.0,0.0,35643.26766799999,0.0,8818.742969192412,26827.739362807595
32.0,0.0,0.0,0.0,36353.42765,0.0,0.0,35927.32235
33.0,0.0,0.0,0.0,8312.380617227085,0.0,23396.462466,45607.15691677292
34.0,0.0,0.0,0.0,1209.0838154680678,0.0,25164.344373999997,49053.32181053194
35.0,0.0,0.0,0.0,33986.22771,0.0,0.0,32973.77229
36.0,0.0,0.0,0.0,33208.433443999995,0.0,0.0,37158.316556000005
37.0,0.0,0.0,0.0,17567.764625685457,0.0,0.0,47908.23537431454
38.0,0.0,0.0,0.0,28862.930696999996,120.69563116004429,0.0,39489.12367183996
39.0,0.0,0.0,0.0,24923.233654,0.0,9859.24772768182,31473.518618318183
40.0,4369.060569847097,0.0,0.0,20273.376629,441.2903699819913,11922.013753,23239.80186265975
41.0,21593.031703698958,0.0,0.0,14693.548199,485.268795932415,8117.710913,15824.00399001375
42.0,32380.96940900488,0.0,7065.595193036688,9688.611182999999,509.3665635764828,4503.623215,8778.996011000047
43.0,32380.96940900488,0.0,9655.54798637261,8809.365491,501.8360111877116,1174.85823,2290.172872434795
44.0,32380.96940900488,0.0,9952.922997206459,10026.782603,462.0746945749998,11.189126,21.811170213664713
45.0,32380.96940900488,0.0,6668.0445880394045,11142.748289,415.98771395572015,0.0,0.0
46.0,32380.96940900488,0.0,78.9732465631323,12833.605388999998,370.20195543199134,0.0,0.0
47.0,27730.442948139458,0.0,0.0,14693.548199,343.99563311906763,0.0,0.0
48.0,24981.059827494333,0.0,0.0,16012.416737,328.63330624597444,0.0,0.0
49.0,23231.498686094114,0.0,0.0,16384.405299,334.9589702525422,0.0,0.0
50.0,21458.547689017534,0.0,0.0,17043.839568,388.87772535614386,0.0,0.0
51.0,20055.56293002699,0.0,0.0,19174.319514,466.59302600826254,0.0,0.0
52.0,20848.694750066617,0.0,0.0,21693.696592999997,552.4413232402541,139.86407499999999,272.6396276708089
53.0,25042.056615482245,0.0,0.0,20915.902327,669.6167184095336,1952.502487,3806.0492022844924
54.0,25699.538613127028,0.0,0.0,19732.302357,819.3240998983048,5521.833680999999,10763.812500443535
55.0,9813.362763114823,0.0,0.0,24027.079391,990.418250171186,10344.346987,20164.42686253303
56.0,0.0,0.0,0.0,32024.833474,0.0,4671.455088557599,30873.7114374424
57.0,0.0,0.0,0.0,27027.00797698611,0.0,0.0,42160.99202301389
58.0,0.0,0.0,0.0,40377.667548,0.0,0.0,29433.17645905053
59.0,0.0,0.0,0.0,40360.758977,0.0,0.0,33150.241023
60.0,0.0,0.0,0.0,38805.170444999996,0.0,0.0,37455.829555000004
61.0,0.0,0.0,0.0,35575.633384,0.0,0.0,36316.116616
62.0,0.0,0.0,0.0,0.0,0.0,23891.812498078005,46643.187501921995
63.0,0.0,0.0,0.0,26191.376479,0.0,0.0,35177.623521
64.0,0.0,0.0,0.0,21406.250885999998,0.0,10805.58288941973,28539.916224580276
65.0,12466.903884380961,0.0,0.0,15843.331027,682.2680464226692,9331.731084,18190.51595819637
