Technology,DK,FR,DE,IB,LU,UK
Lignite,0.0,0.0,14336.428465306017,0.0,17336.65323760654,0.0
Coal,0.0,0.0,0.0,0.0,0.0,0.0
Gas,5161.776509347226,56742.960522068475,49791.05042090957,15085.307876964647,36287.24689786851,37789.91034783669
WindOnshore,15299.570946981306,151215.4004120206,169085.71,84885.38045863507,47651.42856,119409.18849149294
WindOffshore,0.0,28011.7704340507,0.0,0.0,43568.084010476516,0.0
PVGround,4679.790965322503,91652.96818971985,55945.63,110681.80933956275,12910.5298,47467.13184257942
PVRoof,0.0,0.0,77121.48989334429,0.0,25993.2,0.0
PumpedStor,0.0,14235.0,6931.0,37554.76464414936,3228.0,5994.0
BatteryStor,0.0,0.0,-1.0208395746987518e-8,0.0,0.0,0.0
