Technology,DK,FR,DE,IB,LU,UK
Lignite,0.0,0.0,15648.31471359028,0.0,19969.50996821434,0.0
Coal,0.0,0.0,0.0,0.0,0.0,0.0
Gas,5952.075710211745,48688.375048309,44780.87108936116,15940.65491787402,27518.05265129776,38641.24490566038
WindOnshore,12797.86556228098,202749.73136830138,164578.36390900036,78994.8852076585,47651.42856,112909.43396226414
WindOffshore,0.0,0.0,0.0,0.0,34939.528724776545,0.0
PVGround,5449.9504777837,98830.88487922141,55945.63,112229.59029039762,12910.5298,44322.06649403839
PVRoof,0.0,0.0,75140.48158052073,0.0,25993.2,0.0
PumpedStor,0.0,14235.0,6931.0,37673.94779571329,3228.0,5994.0
BatteryStor,0.0,0.0,0.0,0.0,0.0,0.0
