Country, Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
DE,28365.169969887374,0.0,39413.82828341139,169085.71,11088.27037877256,55945.63,54390.36374929421
DK,385.949207893274,0.0,5065.969844357976,15128.543635352973,0.0,3660.7659001536704,0.0
FR,9997.257857227769,0.0,57982.99241628371,183567.58632281193,18163.758650099124,68787.23929891184,0.0
IB,6872.329771039881,0.0,32493.74390860282,124508.5714,0.0,50158.162257690994,0.0
LU,11484.35935430508,0.0,17374.304917209593,47651.42856,4751.70591467201,12910.5298,23237.302886393616
UK,8439.386588171663,0.0,33874.262641779525,117047.06782419857,0.0,35409.21966715411,0.0
