Hour;Lignite;Coal;Gas;WindOnshore;WindOffshore;PVGround;PVRoof
720;27165.26222252317;0.0;0.0;22200.953723;1087.0401730756441;0.0;0.0
721;27165.26222252317;0.0;1352.621374794373;23333.827980000002;901.2884226824535;0.0;0.0
722;25841.389922841096;0.0;0.0;24787.965086;813.6449911589058;0.0;0.0
723;24085.419800645846;0.0;0.0;25954.656485;763.9367762649533;0.0;0.0
724;24065.26624175123;0.0;0.0;25937.747914;756.0881107553819;0.0;0.0
725;27165.26222252317;0.0;0.0;25599.576494;774.4016636110487;0.0;0.0
726;27165.26222252317;0.0;0.0;25193.77079;808.4125474858582;0.0;0.0
727;27165.26222252317;0.0;0.0;25751.753632999997;816.2612129954296;0.0;0.0
728;27165.26222252317;0.0;0.0;24043.987962;808.4125474858582;1941.313361;2239.2442965732193
729;27165.26222252317;0.0;0.0;19901.388067;758.7043325919058;6422.558324;7408.22032410967
730;25530.174833103432;0.0;0.0;20780.633758999997;678.9095665779295;10702.399018999999;12344.882822318641
731;12083.360434120777;0.0;0.0;25126.136506;616.120242501358;13762.624979999999;15874.757837377865
732;6912.097244816796;0.0;0.0;26800.085035;576.8769149535008;14864.753890999998;17146.029095086582
733;9374.99294737159;0.0;0.0;24957.050796;593.8823568909055;13404.572947999999;15461.756007462345
734;21931.2126522256;0.0;0.0;20307.193771;637.0500171935485;9326.136520999999;10757.407038580854
735;27165.26222252317;0.0;5597.99670449407;19157.410943;678.9095665779295;4419.70477;5097.991338019721
736;27165.26222252317;0.0;2781.2495303847522;23502.91369;706.3798958614294;497.91610699999995;574.3306697262724
737;27165.26222252317;0.0;7423.529503312759;28034.410718;749.5475561640724;0.0;0.0
738;27165.26222252317;0.0;12011.074984072704;28490.942135;809.7206584041201;0.0;0.0
739;27165.26222252317;0.0;2287.6699003772355;28406.39928;860.7369842163343;0.0;0.0
740;27165.26222252317;0.0;3184.6917658569764;28017.502146999996;918.2938646198583;0.0;0.0
741;27165.26222252317;0.0;0.0;27121.347883999995;966.6939685955488;0.0;0.0
742;23043.877012801346;0.0;0.0;26580.273612;999.3967415520964;0.0;0.0
743;21445.74674463992;0.0;0.0;24990.867937999996;1047.7968455277871;0.0;0.0
744;19744.498800242956;0.0;0.0;23418.370835;1046.4887346095252;0.0;0.0
745;19305.647186097587;0.0;0.0;21423.159457;1024.2508489990726;0.0;0.0
746;24618.41661675778;0.0;0.0;19630.850930999997;991.5480760425252;0.0;0.0
747;24117.2305186046;0.0;0.0;18295.073822;978.466966859906;0.0;0.0
748;24036.40557846626;0.0;0.0;17060.748139;945.7641939033583;0.0;0.0
749;21499.37858980619;0.0;0.0;16468.948153999998;922.218197374644;0.0;0.0
750;24376.16365050747;0.0;0.0;16638.033864;923.5263082929059;0.0;0.0
751;22648.310481620487;0.0;0.0;17145.290994;948.3804157398821;5.594563;6.453153592430027
752;21103.55241212434;0.0;0.0;16502.765296;995.4724087973108;2607.066358;3007.1695740723926
753;15837.16644561838;0.0;0.0;13459.222516;1104.045615013049;8285.547803;9557.12047038887
754;14178.321654130188;0.0;0.0;12444.708256;1381.365129684573;14053.542255999999;16210.321824184226
755;0.0;0.0;0.0;15538.976748999998;1950.3933791285026;17197.686662;19836.9941431299
756;2015.646145587506;0.0;0.0;18819.239523;2811.130363344837;16957.120453;19559.50853865541
757;2493.230138903681;0.0;0.0;20780.633758999997;3707.1863423542427;14350.054095;16552.338964583018
758;4030.293313041193;0.0;0.0;19597.033789;4523.447555349672;9969.511266;11499.519701710307
759;17274.92480391488;0.0;0.0;18869.965236;5167.03812713453;4615.514475;5323.851713754772
760;17399.791552157447;0.0;0.0;25329.039357999998;5664.120276074054;531.483485;613.0495912808525
761;17157.9838721487;0.0;0.0;32295.370609999998;5801.471922491555;0.0;0.0
762;24358.593052808643;0.0;0.0;35643.26766799999;5668.044608828841;0.0;0.0
763;15423.345782616598;0.0;0.0;36065.981943;5657.579721482745;0.0;0.0
764;13713.22628026381;0.0;0.0;35913.804804;5915.277572380341;0.0;0.0
765;10573.995529771826;0.0;0.0;35592.541955;6329.948733469365;0.0;0.0
766;9419.831371156748;0.0;0.0;35626.359097;6621.65746824177;0.0;0.0
767;6071.9456657868795;0.0;0.0;36235.067653;6611.192580895675;0.0;0.0
768;3821.003064696191;0.0;0.0;35879.987662;6239.689080109293;0.0;0.0
769;3225.701017487022;0.0;0.0;35677.08481;5809.320588001126;0.0;0.0
770;7141.45119370664;0.0;0.0;35237.461964;5420.81164527734;0.0;0.0
771;7633.513611595097;0.0;0.0;35592.541955;5131.719132341459;0.0;0.0
772;10301.401763142556;0.0;0.0;35322.004819;4908.032165318673;0.0;0.0
773;14140.53392957347;0.0;0.0;35829.261949;4965.589045722197;0.0;0.0
774;23263.18948760628;0.0;0.0;35710.901952;5242.908560393721;0.0;0.0
775;27165.26222252317;0.0;2034.9120375890307;36843.776209;5443.049530887793;0.0;0.0
776;27165.26222252317;0.0;1187.3216938283076;36843.776209;5470.519860171293;1421.0190019999998;1639.1010124772267
777;27165.26222252317;0.0;0.0;34172.221991;5236.368005802411;5001.539322;5769.119311632444
778;21308.2828576146;0.0;0.0;34358.216272;4815.156290122077;8565.275953;9879.778150010372
779;17426.415608921714;0.0;0.0;39582.964711;4467.198785864411;10484.211062;12093.209832213872
780;3834.001901351552;0.0;0.0;45112.067427999995;4248.744262514671;10691.209893;12331.976515133782
781;13212.420051910858;0.0;0.0;44655.536011;4039.4465155927674;9684.188553;11170.408868496377
782;21428.88977155282;0.0;0.0;39938.044702;3639.164574604624;6954.041808999999;8021.269915390523
783;27165.26222252317;0.0;4860.910115614868;37858.290469;3153.8554239294563;3597.3040089999995;4149.377759932507
784;27165.26222252317;0.0;6476.644259888311;39194.067578;2773.1951467152417;537.078048;619.5027448732825
785;27165.26222252317;0.0;3516.1921526734404;39954.953273;2655.46516407167;0.0;0.0
786;27165.26222252317;0.0;5560.92564346411;38078.101892;2880.460242012718;0.0;0.0
787;27165.26222252317;0.0;12246.750413081256;36556.330502;3194.4068623955754;0.0;0.0
788;27165.26222252317;0.0;2494.44276142371;34747.113405;3391.931611053123;0.0;0.0
789;27165.26222252317;0.0;0.0;34239.856275;3389.3153892165997;0.0;0.0
790;27165.26222252317;0.0;5815.776542211861;33783.324858;3193.0987514773137;0.0;0.0
791;27165.26222252317;0.0;0.0;32498.273462;2867.379132830099;0.0;0.0
792;27165.26222252317;0.0;1790.566387245326;30503.062084;2444.859306231503;0.0;0.0
793;27165.26222252317;0.0;0.0;29404.004968999998;2004.0259267772406;0.0;0.0
794;27165.26222252317;0.0;1725.9979760338247;28626.210703;1593.279098443002;0.0;0.0
795;27165.26222252317;0.0;0.0;27865.325008;1262.3270361227396;0.0;0.0
796;27165.26222252317;0.0;5585.527983406351;26478.822185999998;1151.1376080704777;0.0;0.0
797;27165.26222252317;0.0;11130.610257915107;25345.947928999998;1236.1648177575016;0.0;0.0
798;27165.26222252317;0.0;20378.639922276736;24043.987962;1363.0515768289065;0.0;0.0
799;27165.26222252317;0.0;28322.698799169626;22928.022276;1527.8735525299066;16.783689;19.359460777290078
800;27165.26222252317;0.0;17852.369003348504;21626.062309;1695.3117500674307;2439.229468;2813.5749662994917
801;27165.26222252317;0.0;19155.43985247412;18869.965236;1865.3661694414786;7105.09501;8195.505062386133
802;27165.26222252317;0.0;0.0;19969.022351;2026.2638123876932;11860.473559999999;13680.685615951656
803;27165.26222252317;0.0;0.0;20408.645196999998;2172.7722352330265;15043.779906999998;17352.530010044342
804;25813.352173384148;0.0;0.0;20222.650916;2535.118959591575;15782.262223;18204.346284245108
805;27165.26222252317;0.0;475.60430172648194;18007.628115;3057.055215978075;14210.19002;16391.010124772267
806;27165.26222252317;0.0;272.40637543210687;14389.193920999998;3576.3752505280518;10260.428542;11835.08368851667
807;27165.26222252317;0.0;14163.055772726691;11954.359697;4039.4465155927674;5415.536983999999;6246.652677472266
808;27165.26222252317;0.0;25336.016616852747;13577.582513;4484.204227801815;1018.210466;1174.473953822265
809;27165.26222252317;0.0;31402.024241518226;15961.691024;4817.772511958601;0.0;0.0
810;27165.26222252317;0.0;29244.641665104016;15860.239597999998;4785.069739002054;0.0;0.0
811;27165.26222252317;0.0;26270.7640196507;14439.919634;4435.804123826125;0.0;0.0
812;27165.26222252317;0.0;31211.44069665283;13256.319663999999;3955.727416824005;0.0;0.0
813;27165.26222252317;0.0;24538.07304968672;12072.719694;3433.7911604375045;0.0;0.0
814;27165.26222252317;0.0;19504.484294303787;11514.736850999998;2818.979028854408;0.0;0.0
815;27165.26222252317;0.0;17953.578597200347;11125.839718;2140.069462276479;0.0;0.0
816;27165.26222252317;0.0;21080.16659236702;10787.668297999999;1586.7385438516926;0.0;0.0
817;27165.26222252317;0.0;24127.026773163114;10077.508316;1195.6133792913824;0.0;0.0
818;27165.26222252317;0.0;14790.557225463655;9519.525473;931.3749738024774;0.0;0.0
819;27165.26222252317;0.0;18994.618460854083;9198.262623999999;752.1637780005963;0.0;0.0
820;27165.26222252317;0.0;15538.446380012054;8555.736926;647.5149045396437;0.0;0.0
821;27165.26222252317;0.0;19077.55848951687;8335.925502999999;586.033691381334;0.0;0.0
822;27165.26222252317;0.0;31991.086922787686;8082.296938;565.1039166891436;0.0;0.0
823;27165.26222252317;0.0;40068.30893110931;7811.759802;563.7958057708817;22.378252;25.81261436972011
824;27165.26222252317;0.0;29323.247709100982;6780.336970999999;580.8012477082865;3793.1137139999996;4375.238135667558
825;27165.26222252317;0.0;19720.58231909777;5698.188427;589.9580241361198;10758.344648999999;12409.41435824294
826;27165.26222252317;0.0;0.0;6053.268418;613.5040206648341;18215.897128;21011.46809695217
827;24700.54781303927;0.0;0.0;6459.074121999999;660.5960137222628;22378.252;25812.614369720108
828;23285.57353257407;0.0;0.0;7219.959817;698.5312303518581;22148.874916999997;25548.035072430474
829;27165.26222252317;0.0;537.6422050686829;8251.382648;748.2394452458104;19390.755358;22366.630351362473
830;27165.26222252317;0.0;9531.881772716522;8961.54263;843.7315422789296;14562.647488999997;16797.558801095358
831;27165.26222252317;0.0;13606.065709245671;8589.554068;996.7805197155727;7748.469755;8937.617725515587
832;27165.26222252317;0.0;25238.677903005253;9485.708331;1119.7429460321919;1448.9918169999999;1671.366780439377
833;27165.26222252317;0.0;39804.38239224287;11311.833999;1148.5213862339538;0.0;0.0
834;27165.26222252317;0.0;40068.30893110931;11227.291143999999;1131.515944296549;0.0;0.0
835;27165.26222252317;0.0;40068.30893110931;9604.068328;1038.6400690999537;0.0;0.0
836;27165.26222252317;0.0;29440.526999145633;7575.0398079999995;954.9209703311916;0.0;0.0
837;27165.26222252317;0.0;27983.517658467423;5748.91414;896.055979009406;0.0;0.0
838;27165.26222252317;0.0;33675.73529966037;4700.582737999999;1011.1697398164536;0.0;0.0
839;27165.26222252317;0.0;24455.16401395406;4227.14275;1262.3270361227396;0.0;0.0
840;27165.26222252317;0.0;26634.617654494778;4024.2398980000003;1488.6302249820494;0.0;0.0
841;27165.26222252317;0.0;26460.145514392378;3973.514185;1603.7439857890972;0.0;0.0
842;27165.26222252317;0.0;24987.293805755577;4227.14275;1892.8364987249786;0.0;0.0
843;27165.26222252317;0.0;22460.2772474404;4565.31417;2079.8963600364314;0.0;0.0
844;27165.26222252317;0.0;22669.86685789406;4920.394161;2391.226758582765;0.0;0.0
845;27165.26222252317;0.0;17655.001569645206;5512.194145999999;2595.292061831622;0.0;0.0
846;27165.26222252317;0.0;31371.168037789543;6340.7141249999995;2613.6056146872893;0.0;0.0
847;27165.26222252317;0.0;36722.07661156793;7355.228384999999;2917.087347724051;11.189126;12.906307184860054
848;27165.26222252317;0.0;35445.65218390111;7980.845512;2973.336117209313;2685.3902399999997;3097.513724366413
