Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,0.0,0.0,0.0,11682.887392922523,60568.78428114361,0.0,0.0
2.0,0.0,0.0,0.0,11612.799735828035,46583.866931171964,0.0,0.0
3.0,0.0,0.0,0.0,11823.062707111498,44365.603959888496,0.0,0.0
4.0,0.0,0.0,0.0,11760.225497302647,48167.441169697355,0.0,0.0
5.0,0.0,0.0,0.0,11767.475944588285,48109.19072241172,0.0,0.0
6.0,0.0,0.0,0.0,12062.327467537507,55325.33919946249,0.0,0.0
7.0,0.0,0.0,0.0,12499.771120437585,58809.89554656242,0.0,0.0
8.0,0.0,0.0,0.0,12707.61727595917,58606.049391040826,0.0,0.0
9.0,0.0,0.0,0.0,12987.96790433712,58677.698762662876,0.0,0.0
10.0,0.0,0.0,0.0,13147.477744621126,57434.188922378875,0.0,0.0
11.0,0.0,0.0,0.0,13577.670950235566,57025.99571676443,0.0,0.0
12.0,0.0,0.0,0.0,14926.254145363986,54963.41252163601,0.0,0.0
13.0,0.0,0.0,0.0,15453.119981453581,53483.54668554642,0.0,0.0
14.0,0.0,0.0,0.0,14955.255934506531,51755.41073249347,0.0,0.0
15.0,0.0,0.0,0.0,13546.252345331142,52498.41432166885,0.0,0.0
16.0,0.0,0.0,0.0,12847.792590148143,54282.874076851855,0.0,0.0
17.0,0.0,0.0,0.0,12729.368617816079,59792.74663546583,107.55141371808371,0.0
18.0,0.0,0.0,0.0,12412.765753009944,63648.90091399005,0.0,0.0
19.0,0.0,0.0,0.0,12429.683463343097,59892.9832036569,0.0,0.0
20.0,0.0,0.0,0.0,12826.041248291234,54812.62541870876,0.0,0.0
21.0,0.0,0.0,0.0,12961.382930956452,55435.283736043544,0.0,0.0
22.0,0.0,0.0,0.0,13360.157531666468,54322.50913533353,0.0,0.0
23.0,0.0,0.0,0.0,13809.68526337594,55880.612273566105,0.0,0.0
24.0,0.0,0.0,0.0,14174.624443419652,50095.02233559408,0.0,0.0
